Prey,Predator,PreyMass,PredatorMass
Zooplankton,Idotea,0.001,0.0001
Dictyota mertensii,Plocamium brasiliense,0.000228,0.000228
Isopoda,Plocamium brasiliense,0.0027,0.000228
PhytoP,Gracilaria Birdiae,0.0001,0.000228
PhytoP,Sphacelaria sp.,0.0001,0.000228
PhytoP,Ulva lactuca,0.0001,0.000228
Sabellidae,Bryopsis pennata,0.006,0.000228
Eulithidium affine,Gammaridae,0.0002,0.0008
Bathygobius soporator,Ostracoda,2.11,0.001
Brachidontes sp.,Ostracoda,0.001,0.001
Tanaidacea,Ostracoda,0.0005,0.001
Sabellidae,Fissurella rosea,0.006,0.0014
Bathygobius soporator,Polychaeta,2.11,0.0045
Eulithidium affine,Siderastrea sp.,0.0002,0.01
Isopoda,Cinachyrella alloclada,0.0027,0.01
Ostracoda,Tedania sp.,0.001,0.01
Zooplankton,Mycale sp.,0.001,0.01
Brachidontes sp.,Clibanarius antillensis,0.001,0.168
Stramonita haemastoma,Epialtus brasiliensis,2.42,0.193
Cryptonemia crenulata,Aurantilaria aurantiaca,0.000228,1.22
Tanaidacea,Cerithium atratum,0.0005,1.26
Zooplankton,Cerithium atratum,0.001,1.26
Zooplankton,Bathygobius soporator,0.001,2.11
Amphitoidae,Tegula viridula,0.002,3.04
Tanaidacea,Tegula viridula,0.0005,3.04
PhytoP,Pachygrapsus transversus,0.0001,4.35
