Prey,Predator,PreyMass,PredatorMass
Arunta interclusa,Cheyletia wellsi,0.787365181,4.83e-07
Pelecanus,Pellonyssus,3500,2.71e-06
Phalacrocorax dilophus,Pellonyssus,2568.732374,2.71e-06
Acanalonia latifrons,Sphaerolophus,0.011,6.37e-05
Aleurothrixus,Sphaerolophus,0.0025,6.37e-05
Blissus insularis,Sphaerolophus,0.004,6.37e-05
Ceroplastes,Sphaerolophus,0.005,6.37e-05
Oliarus,Sphaerolophus,0.0065,6.37e-05
Pseudococcus,Sphaerolophus,-999,6.37e-05
Scaphytopius,Sphaerolophus,0.0075,6.37e-05
Tetraluerodes,Sphaerolophus,0.0025,6.37e-05
Pyraustidae,Ooencyrtus submetallicus,0.027,0.000398141
Tetraluerodes,Ooencyrtus submetallicus,0.0025,0.000398141
Actinopteryx fucicola,Euderus,0.000866,0.000722205
Chrysomelidae,Euderus,0.0105,0.000722205
Orgygia detrita,Entedontini,0.313497562,0.000722205
Pyraustidae,Entedontini,0.027,0.000722205
Tholeria reversalis,Entedontini,0.578053133,0.000722205
Neotermes castaneus,Xenomyrmex floridanus,0.006623951,0.000760079
Actinopteryx fucicola,Veigaia,0.000866,0.000795
Bdella,Veigaia,8.52e-06,0.000795
Ligia exotica,Veigaia,1.348779475,0.000795
Tachys occulator,Veigaia,0.0035,0.000795
Cycloptilum,Probaryconus,0.018459537,0.000921608
Chrysopa,Callihormius bifasciatus,0.017427594,0.001671743
Liothrips,Iphiaulax epicus,0.001874225,0.001671743
Scaphytopius,Meioneta,0.0075,0.00175
Ataxia,Neanastatus,0.023,0.002300114
Nemapogon,Nesepyris floridanus,0.025336077,0.002300114
Oxydia,Scleroderma macrogaster,0.262111693,0.002300114
Phocides batabano,Nesepyris floridanus,1.36330884,0.002300114
Sapintus fulvipes,Neanastatus,0.007,0.002300114
Scheloribates,Scydmaenidae,0.000282,0.003
Orgygia detrita,Orius,0.313497562,0.0035
Actenodes auronotata,Euchrysia,0.0115,0.003869709
Ceroplastes,Camponotus planatus,0.005,0.003869709
Poecilipa rhizophorae,Euchrysia,0.000875,0.003869709
Trischidias atoma,Euchrysia,0.0025,0.003869709
Hypoponera opacior,Sergiolus,0.00114621,0.0039
Paratrechina bourbonica,Sergiolus,0.00114621,0.0039
Pseudomyrmex elongatus,Sergiolus,0.016248394,0.0039
Xenomyrmex floridanus,Sergiolus,0.000760079,0.0039
Arunta interclusa,Uloborus,0.787365181,0.005
Euderus,Uloborus,0.000722205,0.005
Vacusus vicinus,Uloborus,0.007,0.005
Aedes taeniorhynchus,Mangora,0.0035,0.006
Automeris io,Hentzia palmarum,2.636851999,0.006
Syrphidae,Mangora,0.015,0.006
Camponotus floridanus,Anyphaena,0.013570258,0.006
Paratrechina bourbonica,Anyphaena,0.00114621,0.006
Colobopsis,Aysha velox,0.003869709,0.0065
Xenomyrmex floridanus,Aysha velox,0.000760079,0.0065
Paratrechina bourbonica,Gnaphosa,0.00114621,0.0066
Arunta interclusa,Pirata,0.787365181,0.00665
Olfersia sordida,Pirata,0.0055,0.00665
Sergiolus,Pirata,0.0039,0.00665
Stoidis aurata,Pirata,0.009,0.00665
Aedes taeniorhynchus,Leucauge venusta,0.0035,0.00675
Automeris io,Leucauge venusta,2.636851999,0.00675
