Prey,Predator,PreyMass,PredatorMass
Corallina sp.,Idotea,0.000228,0.0002
Gracilaria sp.,Idotea,0.000228,0.0002
Harparticoida,Idotea,0.001,0.0002
Hypnea musciformis,Idotea,0.000228,0.0002
Tanaidacea,Idotea,0.0004,0.0002
Acanthophora spicifera,Tanaidacea,0.000228,0.0004
Hypnea musciformis,Tanaidacea,0.000228,0.0004
Plocamium brasiliense,Tanaidacea,0.000228,0.0004
Centroceras clavulatum,Aplysia dactylomela,0.000228,0.0005
Gracilaria sp.,Aplysia dactylomela,0.000228,0.0005
Zooplankton,Aplysia dactylomela,0.001,0.0005
Centroceras clavulatum,Fissurella rosea,0.000228,0.0009
Corallina sp.,Fissurella rosea,0.000228,0.0009
Gracilaria sp.,Fissurella rosea,0.000228,0.0009
Lithophyllum sp.,Fissurella rosea,0.000228,0.0009
Ulva lactuca,Fissurella rosea,0.000228,0.0009
Acanthophora spicifera,Gammaridae,0.000228,0.001
Centroceras clavulatum,Gammaridae,0.000228,0.001
Centroceras clavulatum,Harparticoida,0.000228,0.001
Corallina sp.,Idoteidae,0.000228,0.001
Gracilaria sp.,Gammaridae,0.000228,0.001
Gracilaria sp.,Idoteidae,0.000228,0.001
Harparticoida,Gammaridae,0.001,0.001
Hypnea musciformis,Harparticoida,0.000228,0.001
Plocamium brasiliense,Gammaridae,0.000228,0.001
Zooplankton,Gammaridae,0.001,0.001
Bryopsis pennata,Eulithidium affine,0.000228,0.0014
Corallina sp.,Eulithidium affine,0.000228,0.0014
Hypnea musciformis,Eulithidium affine,0.000228,0.0014
Lithophyllum sp.,Eulithidium affine,0.000228,0.0014
Plocamium brasiliense,Eulithidium affine,0.000228,0.0014
Idotea,Pagurus sp.,0.0002,0.003
Tanaidacea,Pagurus sp.,0.0004,0.003
Acanthophora spicifera,Polychaeta,0.000228,0.0095
Bryopsis pennata,Polychaeta,0.000228,0.0095
Corallina sp.,Polychaeta,0.000228,0.0095
Eulithidium affine,Polychaeta,0.0014,0.0095
Gammaridae,Polychaeta,0.001,0.0095
Gracilaria sp.,Polychaeta,0.000228,0.0095
Harparticoida,Polychaeta,0.001,0.0095
Idotea,Polychaeta,0.0002,0.0095
PhytoP,Polychaeta,0.0001,0.0095
Tanaidacea,Polychaeta,0.0004,0.0095
Ulva lactuca,Polychaeta,0.000228,0.0095
Zooplankton,Leptopecten sp.,0.001,0.014
Acanthophora spicifera,Stenothoidae,0.000228,0.027
Centroceras clavulatum,Stenothoidae,0.000228,0.027
Gammaridae,Stenothoidae,0.001,0.027
Idotea,Stenothoidae,0.0002,0.027
Idoteidae,Stenothoidae,0.001,0.027
Plocamium brasiliense,Stenothoidae,0.000228,0.027
Tanaidacea,Stenothoidae,0.0004,0.027
Corallina sp.,Tegula viridula,0.000228,0.043
Gracilaria sp.,Tegula viridula,0.000228,0.043
Hypnea musciformis,Tegula viridula,0.000228,0.043
Lithophyllum sp.,Tegula viridula,0.000228,0.043
Plocamium brasiliense,Tegula viridula,0.000228,0.043
Acanthophora spicifera,Engina turbinella,0.000228,0.114
Corallina sp.,Engina turbinella,0.000228,0.114
Hypnea musciformis,Engina turbinella,0.000228,0.114
Plocamium brasiliense,Engina turbinella,0.000228,0.114
Ulva lactuca,Engina turbinella,0.000228,0.114
Bryopsis pennata,Bathygobius soporator,0.000228,2.43
Corallina sp.,Bathygobius soporator,0.000228,2.43
Lithophyllum sp.,Bathygobius soporator,0.000228,2.43
Plocamium brasiliense,Bathygobius soporator,0.000228,2.43
Ulva lactuca,Bathygobius soporator,0.000228,2.43
