Prey,Predator,PreyMass,PredatorMass
PhytoP,Zooplankton,0.0001,0.001
PhytoP,Gammaridae,0.0001,0.0011
Lithophyllum sp.,Lepidochitona cinerea,0.000228,0.002
Sphacelaria cirrosa,Lepidochitona cinerea,0.000228,0.002
Zooplankton,Polychaeta,0.001,0.0027
PhytoP,Ophiuroidea,0.0001,0.0028
Bifurcaria bifurcata,Mysida,0.000228,0.01
Calliopidae,Anemonia sulcata,0.01,0.01
Gammaridae,Anemonia sulcata,0.0011,0.01
Idoteidae,Anemonia sulcata,0.014,0.01
Laurencia pinnatifida,Mysida,0.000228,0.01
PhytoP,Caprella sp.,0.0001,0.01
Pirimela denticulata,Anemonia sulcata,0.01,0.01
Polychaeta,Caprella sp.,0.0027,0.01
Polychaeta,Nemertea,0.0027,0.01
Stenothoidae,Anemonia sulcata,0.01,0.01
Tricolia pullus,Anemonia sulcata,0.013,0.01
PhytoP,Tricolia pullus,0.0001,0.013
Sphacelaria cirrosa,Aplysia punctata,0.000228,0.1
Coryphoblennius galerita,Nassariidae,0.72,0.118
Insecta,Nassariidae,0.01,0.118
Lipophrys pholis,Nassariidae,0.75,0.118
Acanthochitona crinita,Coryphoblennius galerita,0.007,0.72
Insecta,Coryphoblennius galerita,0.01,0.72
Mysida,Coryphoblennius galerita,0.01,0.72
Polychaeta,Coryphoblennius galerita,0.0027,0.72
Porifera,Necora puber,0.01,0.89
Insecta,Carcinus maenas,0.01,3.34
Musculus costulatus,Carcinus maenas,0.011,3.34
Patella ulyssiponensis,Actinia fragacea,0.3,11.21
