Prey,Predator,PreyMass,PredatorMass
Polysiphonia sp.,Insecta,0.000228,0.0002
Palmaria palmata,Mysida,0.000228,0.0002
Ulva linza,Mysida,0.000228,0.0002
Lomentaria articulata,Polychaeta,0.000228,0.0002
Mysida,Polychaeta,0.0002,0.0002
Ulva intestinalis,Polychaeta,0.000228,0.0002
Ectocarpus siliculosus,Omalogyra atomus,0.000228,0.0003
Lomentaria articulata,Omalogyra atomus,0.000228,0.0003
Corallina officinalis,Harparticoida,0.000228,0.001
Dictyota dichotoma,Harparticoida,0.000228,0.001
Furcellaria lumbricalis,Harparticoida,0.000228,0.001
Lomentaria articulata,Harparticoida,0.000228,0.001
Polysiphonia sp.,Harparticoida,0.000228,0.001
PhytoP,Zooplankton,0.0001,0.001
Lomentaria articulata,Gammaridae,0.000228,0.0012
Palmaria palmata,Gammaridae,0.000228,0.0012
PhytoP,Gammaridae,0.0001,0.0012
Saccharina latissima,Tanaidacea,0.000228,0.0021
Zooplankton,Tanaidacea,0.001,0.0021
Furcellaria lumbricalis,Sphaeromatidae,0.000228,0.0033
Polysiphonia sp.,Sphaeromatidae,0.000228,0.0033
Ulva lactuca,Sphaeromatidae,0.000228,0.0033
Polychaeta,Stenothoidae,0.0002,0.0038
Harparticoida,Palaemon elegans,0.001,0.01
Mastocarpus stellatus,Palaemon elegans,0.000228,0.01
Bivalvia,Carcinus maenas,0.01,0.01
Gibbula umbilicalis,Carcinus maenas,0.01,0.01
Insecta,Carcinus maenas,0.0002,0.01
Palaemon elegans,Carcinus maenas,0.01,0.01
Polysiphonia sp.,Carcinus maenas,0.000228,0.01
Stenothoidae,Carcinus maenas,0.0038,0.01
Palmaria palmata,Gibbula cineraria,0.000228,0.01
Ulva linza,Gibbula cineraria,0.000228,0.01
Chondrus crispus,Gibbula umbilicalis,0.000228,0.01
Ectocarpus siliculosus,Gibbula umbilicalis,0.000228,0.01
Palmaria palmata,Gibbula umbilicalis,0.000228,0.01
Saccharina latissima,Gibbula umbilicalis,0.000228,0.01
Ulva linza,Gibbula umbilicalis,0.000228,0.01
Chondrus crispus,Membranipora membranaceae,0.000228,0.01
Corallina officinalis,Membranipora membranaceae,0.000228,0.01
Furcellaria lumbricalis,Membranipora membranaceae,0.000228,0.01
PhytoP,Membranipora membranaceae,0.0001,0.01
Saccharina latissima,Membranipora membranaceae,0.000228,0.01
Ulva intestinalis,Membranipora membranaceae,0.000228,0.01
Corallina officinalis,Nematoda,0.000228,0.01
Fucus serratus,Nematoda,0.000228,0.01
Lomentaria articulata,Nematoda,0.000228,0.01
Ulva lactuca,Nematoda,0.000228,0.01
Polysiphonia sp.,Nymphon gracile,0.000228,0.01
Gammaridae,Palaemon serratus,0.0012,0.1553
Ulva intestinalis,Palaemon serratus,0.000228,0.1553
