Prey,Predator,PreyMass,PredatorMass
Ostracoda,Insecta,0.001,0.0002
Corallina sp.,Laurencia sp.,0.000228,0.000228
Gobius sp.,Gammaridae,0.3,0.0005
Palaemon elegans,Gammaridae,0.25,0.0005
Cladophora prolifera,Zooplankton,0.000228,0.001
Corallina sp.,Polychaeta,0.000228,0.01
Gobius sp.,Eriphia verrucosa,0.3,0.01
Lipophrys pholis,Eriphia verrucosa,5.96,0.01
Zooplankton,Eriphia verrucosa,0.001,0.01
Gobius sp.,Palaemon elegans,0.3,0.25
Acanthonyx lunulatus,Gobius sp.,1.59,0.3
Caprella sp.,Gobius sp.,0.0002,0.3
Eriphia verrucosa,Gobius sp.,0.01,0.3
Grapsus adscensionis,Gobius sp.,0.01,0.3
Lipophrys pholis,Gobius sp.,5.96,0.3
Liza ramada,Gobius sp.,0.38,0.3
Eriphia verrucosa,Liza ramada,0.01,0.38
Gammaridae,Liza ramada,0.0005,0.38
Lipophrys pholis,Liza ramada,5.96,0.38
Gammaridae,Acanthonyx lunulatus,0.0005,1.59
Palaemon elegans,Acanthonyx lunulatus,0.25,1.59
Caprella sp.,Paracentrotus lividus,0.0002,20.83
Gammaridae,Paracentrotus lividus,0.0005,20.83
Pirimela denticulata,Paracentrotus lividus,0.4,20.83
Stramonita haemastoma,Paracentrotus lividus,7.5,20.83
