Prey,Predator,PreyMass,PredatorMass
Zooplankton,Oligochaeta,0.001,0.0002
PhytoP,Zooplankton,0.0001,0.001
Clathromorphum circumscriptum,Gammarus oceanicus,0.000228,0.1009
Zooplankton,Sertulariidae,0.001,0.1014
Clathromorphum circumscriptum,Littorina obtusata,0.000228,0.1504
Ascophyllum nodosum,Alitta virens,0.000228,0.18
Monostroma grevillei,Alitta virens,0.000228,0.18
Ralfsia verrucosa,Testudinalia testudinalis,0.000228,0.2588
PhytoP,Mytilus sp.,0.0001,1.0438
Zooplankton,Mytilus sp.,0.001,1.0438
