Prey,Predator,PreyMass,PredatorMass
Ellisolandia elongata,Omalogyra atomus,0.000228,0.0005
Ulva lactuca,Ophiuroidea,0.000228,0.0012
Zooplankton,Turtonia minuta,0.001,0.0014
Zooplankton,Tanaidacea,0.001,0.0046
Asparagopsis armata,Asterina gibbosa,0.000228,0.01
Sphacelaria cirrosa,Sphaeromatidae,0.000228,0.036
Gelidium corneum,Acanthochitona crinita,0.000228,0.064
Ellisolandia elongata,Paracentrotus lividus,0.000228,0.1
Asparagopsis armata,Palaemon longirostris,0.000228,0.101
Sphacelaria cirrosa,Palaemon longirostris,0.000228,0.101
Ellisolandia elongata,Gobius paganellus,0.000228,0.14
Sphaeromatidae,Gobius paganellus,0.036,0.14
Gelidium corneum,Lepidochitona cinerea,0.000228,0.141
Asparagopsis armata,Aplysia punctata,0.000228,0.4
Sphacelaria cirrosa,Aplysia punctata,0.000228,0.4
Gelidium corneum,Palaemon elegans,0.000228,0.55
Sphacelaria cirrosa,Palaemon elegans,0.000228,0.55
Asparagopsis armata,Eriphia verrucosa,0.000228,15
Mytilus galloprovincialis,Eriphia verrucosa,0.21,15
Gelidium corneum,Pachygrapsus marmoratus,0.000228,15.82
Sphacelaria cirrosa,Pachygrapsus marmoratus,0.000228,15.82
Ulva lactuca,Pachygrapsus marmoratus,0.000228,15.82
