Prey,Predator,PreyMass,PredatorMass
leaf litter,root exudates,-999,-999
algae,ciliates,-999,2.63e-09
fungivorous nematodes,bacterivorous nematodes,5.35e-07,8.52e-07
omnivorous nematodes,Entomobrya corticalis,6.02e-05,4.34e-06
algae,Berniniella sigma,-999,4.35e-06
dead organic matter,Folsomia quadrioculata,-999,5.41e-06
Oribatida sp. (juv),Pergamasinae (juv) {xs},7.36e-07,6.46e-06
dead organic matter,Mesaphorura sylvatica,-999,1.46e-05
Linyphiidae (juv),Veigaia nemorensis (juv),0.000519895,1.79e-05
fungivorous nematodes,Scolopendrella cf. subnuda {s},5.35e-07,2.33e-05
leaf litter,Carabodes labyrinthicus,-999,4.35e-05
Cepheus cepheiformes,Lysigamasus vagabundus,7.6e-05,5.29e-05
Erigonella hiemalis,Lysigamasus vagabundus,0.001322539,5.29e-05
roots,Lysigamasus vagabundus,-999,5.29e-05
Phalangiidae sp. (juv),Atheta sp. (juv),0.005966949,0.000175231
Liocranidae sp. (juv),Philodromidae sp. (juv),0.002874279,0.001083208
Notiophilus rufipes (juv),Philodromidae sp. (juv),0.003606752,0.001083208
Philodromus dispar,Philodromidae sp. (juv),0.013387849,0.001083208
omnivorous nematodes,Philodromidae sp. (juv),6.02e-05,0.001083208
Quadroppia quadricarinata,Cryptops hortensis,4.77e-06,0.006138127
bacterivorous nematodes,Elateridae sp1 (juv) {l},8.52e-07,0.01092301
