Prey,Predator,PreyMass,PredatorMass
Epithemia zebra,Oligochaeta type II,-999,9.27e-06
Sephanodiscus sp.,Oligochaeta type II,-999,9.27e-06
Synedra ulna,Oligochaeta type II,-999,9.27e-06
Unidentified detritus,Oligochaeta type II,-999,9.27e-06
Terrestrial invertebrates,Hydrobiosid sp.,-999,4.63e-05
Gomphonema parvulum,Oxyethira albiceps,-999,4.81e-05
Fragilaria vaucheriae,Aoteapsyche sp.,-999,5.48e-05
Cymbella minuta,Austrosimulium australense,-999,7.29e-05
Epithemia sorex,Austrosimulium australense,-999,7.29e-05
Pinnularia sp. (large),Austrosimulium australense,-999,7.29e-05
Surirella (small),Austrosimulium australense,-999,7.29e-05
Surirella tenera ??,Austrosimulium australense,-999,7.29e-05
Unknown green algae filaments,Deleatidium spp.,-999,8.2e-05
Achnanthes minutissima,Cricotopus II,-999,0.000124278
Epithemia sorex,Tanytarsini,-999,0.000132669
Unidentified detritus,Costachorema xanthoptera,-999,0.000148527
Fragilaria vaucheriae,Pirara,-999,0.000164368
Nitzschia sp. (small),Pirara,-999,0.000164368
Pinnularia (small - mesolepta??),Pirara,-999,0.000164368
Achnanthes minutissima,Cricotopus I ,-999,0.000223747
Gomphonema cf. olivaceum,Cricotopus I ,-999,0.000223747
Surirella tenera ??,Polypedellum,-999,0.000231622
Synedra rumpens,Polypedellum,-999,0.000231622
Tanytarsini,Psilochorema bidens,0.000132669,0.000236259
Macrophyte,Zealandoperla/Acroperla sp.,-999,0.000240406
Cyclotella sp.,Eriopterini sp. ,-999,0.000248146
Sephanodiscus sp.,Eriopterini sp. ,-999,0.000248146
Unidentified detritus,Podonomus,-999,0.000374514
Fragilaria vaucheriae,Olinga feredayi,-999,0.000380354
Oedogonium,Olinga feredayi,-999,0.000380354
Synedra ulna,Olinga feredayi,-999,0.000380354
Austrosimulium australense,Hydrobiosis parumbripennis,7.29e-05,0.00057196
Naonella,Hydrobiosis parumbripennis,0.000310421,0.00057196
Oligochaeta type II,Hydrobiosis parumbripennis,9.27e-06,0.00057196
Polypedellum,Hydrobiosis parumbripennis,0.000231622,0.00057196
Unidentified detritus,Hydrobiosis parumbripennis,-999,0.00057196
Synedra ulna,Scirtid sp. (Broad type),-999,0.000695792
Eukiefidrella,Galaxias sp.,0.000103273,20
Oxyethira albiceps,Galaxias sp.,4.81e-05,20
Tanytarsini,Galaxias sp.,0.000132669,20
Unidentified detritus,Galaxias sp.,-999,20
Aoteapsyche sp.,Salmo trutta,5.48e-05,634
Archicaulioides diversus,Salmo trutta,0.015691593,634
Hydrobiosis silvicola/clavigera,Salmo trutta,0.000827948,634
Olinga feredayi,Salmo trutta,0.000380354,634
Scirtid sp. (Broad type),Salmo trutta,0.000695792,634
Unidentified detritus,Salmo trutta,-999,634
