Prey,Predator,PreyMass,PredatorMass
Keratella taurocephala,Mesocyclops edax,1e-08,1e-05
Trichocerca pusilla,Mesocyclops edax,7.46e-07,1e-05
Chydorus sphaericus,fish fry,2.18e-06,0.016
Kelicottia bostoniensis,fish fry,2e-08,0.016
Keratella crassa,fish fry,1.89e-06,0.016
Keratella taurocephala,fish fry,1e-08,0.016
Peridinium limbatum,fish fry,5.6e-08,0.016
Chydorus sphaericus,Notemigonus crysoleucas,2.18e-06,2
Kelicottia bostoniensis,Notemigonus crysoleucas,2e-08,2
Synchaeta sp.,Notemigonus crysoleucas,1.37e-05,2
Trichocerca multicrinis,Notemigonus crysoleucas,1.23e-06,2
