Prey,Predator,PreyMass,PredatorMass
Ceratopogonidae,Simuliidae,8.61e-05,0.000147991
Eunotia incisa,Simuliidae,1.47e-09,0.000147991
Halesus radiatus,Simuliidae,0.001650069,0.000147991
Plectrocnemia conspersa,Simuliidae,0.001267893,0.000147991
Tipulidae,Simuliidae,0.000460215,0.000147991
Sialis fuliginosa,Siphonoperla torrentium,0.002409656,0.000291411
Nemurella pictetii,Limnius volckmari,0.000556481,0.000336527
Ceratopogonidae,Cordulegaster boltonii,8.61e-05,0.002801972
Eunotia rhomboidea,Cordulegaster boltonii,3.02e-10,0.002801972
Pisidium,Cordulegaster boltonii,0.000101819,0.002801972
Tabellaria flocculosa,Cordulegaster boltonii,1e-09,0.002801972
