Prey,Predator,PreyMass,PredatorMass
flagellates,predacious nematodes,3.63e-07,3.56e-06
Micranurida sp. (juv),Rhodacarus agrestis,1.29e-05,1.55e-05
Megalothorax minimus,Veigaia nemorensis (juv),1.52e-05,1.79e-05
Rhodacarus agrestis,Veigaia nemorensis (juv),1.55e-05,1.79e-05
Mesaphorura sp.,Pergamasinae (juv) {s},1.46e-05,1.87e-05
Trachytes pauperior (juv),Uroseius cylindricus (juv),1.16e-05,2.39e-05
Lepidocyrtus cyaneus,Lysigamasus cf rostriforceps,8.99e-06,2.46e-05
Lepidocyrtus cyaneus,Uroseius cylindricus,8.99e-06,4.03e-05
Lepidocyrtus sp. (juv),Uroseius cylindricus,8.99e-06,4.03e-05
Protaphorura armata,Uroseius cylindricus,8.73e-06,4.03e-05
Uropoda cassidea (juv),Uroseius cylindricus,3.95e-05,4.03e-05
Lepidocyrtus sp. (juv),Vulgarogamasus remberti,8.99e-06,4.07e-05
Leptogamasus suecicus,Vulgarogamasus remberti,1.44e-05,4.07e-05
Mesaphorura sp.,Vulgarogamasus remberti,1.46e-05,4.07e-05
Pergamasinae (juv) {s},Vulgarogamasus remberti,1.87e-05,4.07e-05
Rhodacarus agrestis,Vulgarogamasus remberti,1.55e-05,4.07e-05
Rhodacarus agrestis,Veigaia nemorensis,1.55e-05,4.83e-05
Parisotoma notabilis,Vulgarogamasus sp. (juv),2.41e-06,5.1e-05
Uropoda cassidea (juv),Vulgarogamasus sp. (juv),3.95e-05,5.1e-05
Uroseius cylindricus,Vulgarogamasus sp. (juv),4.03e-05,5.1e-05
Lepidocyrtus lanuginosus,Veigaia cf mollis (juv),8.99e-06,6e-05
Allaiulus nitidus (juv) {l},Lithobius aeruginosus (juv),0.001395388,0.000229612
Leptogamasus suecicus,Lithobius aeruginosus (juv),1.44e-05,0.000229612
Lepidocyrtus sp. (juv),Linyphiidae (juv),8.99e-06,0.000519895
Megalothorax minimus,Saloca diceros,1.52e-05,0.001156146
Micranurida sp. (juv),Saloca diceros,1.29e-05,0.001156146
Pachylaelaps cf. vexillifer,Saloca diceros,4.12e-05,0.001156146
Athous sp. (juv),Microneta viaria,0.000875669,0.001863227
Lithobius aeruginosus (juv),Microneta viaria,0.000229612,0.001863227
Lithobius cf. mutabilis (juv),Microneta viaria,0.001784674,0.001863227
Tapinocyba insecta,Tenuiphantes tenuis,0.001163738,0.001997645
Dinychus perforatus,Walckenaeria antica,6.09e-05,0.002002637
Rhynchaenus fagi,Walckenaeria antica,0.001056494,0.002002637
Trachytes aegrota (juv) {s},Walckenaeria antica,2.42e-05,0.002002637
Glomeris sp.,Lithobius aeruginosus {l},0.215543333,0.002201557
Ceratozetes gracilis,Lithobius crassipes,3.57e-05,0.003348347
Linyphiidae (juv),Lithobius crassipes,0.000519895,0.003348347
Lithobius aeruginosus {l},Lithobius crassipes,0.002201557,0.003348347
Glomeris sp.,Lithobius sp.,0.215543333,0.00359344
Geholaspis mandibularis,Theridiidae sp. (juv),7.64e-05,0.003831577
Lithobius cf. mutabilis (juv),Theridiidae sp. (juv),0.001784674,0.003831577
Lithobius sp.,Theridiidae sp. (juv),0.00359344,0.003831577
Tapinocyba insecta,Theridiidae sp. (juv),0.001163738,0.003831577
Dinychus perforatus,Staphylinidae spec,6.09e-05,0.004003596
Lithobius sp.,Staphylinidae spec,0.00359344,0.004003596
Saloca diceros,Staphylinidae spec,0.001156146,0.004003596
Porcellio conspersum,Schendyla nemorensis,0.004025013,0.005111424
Eupelops plicatus,Lithobius aulacopus,7.89e-05,0.005282779
Lithobius aeruginosus (juv),Lithobius aulacopus,0.000229612,0.005282779
Amaurobius sp. (juv),Lithobius tricuspis,0.012068147,0.00559683
Campodea sp. {l},Phalangiidae sp. (juv),0.002292383,0.005966949
Geholaspis aeneus,Phalangiidae sp. (juv),0.000111701,0.005966949
Lithobius sp.,Phalangiidae sp. (juv),0.00359344,0.005966949
Allaiulus nitidus (juv) {l},Geophilomorpha sp.,0.001395388,0.006669259
Athous subfuscus (juv) {l},Geophilomorpha sp.,0.00467099,0.006669259
Geholaspis aeneus,Geophilomorpha sp.,0.000111701,0.006669259
Geholaspis mandibularis,Geophilomorpha sp.,7.64e-05,0.006669259
Aegopinella nitens (juv),Strigamia acuminata,0.009240836,0.006997365
Amara aenea,Strigamia acuminata,0.048427875,0.006997365
Staphylinidae spec,Strigamia acuminata,0.004003596,0.006997365
Steganacarus herculeanus,Strigamia acuminata,0.000275361,0.006997365
Athous subfuscus (juv) {l},Robertus lividus,0.00467099,0.008396656
Linyphiidae (juv),Robertus lividus,0.000519895,0.008396656
Lithobius aeruginosus (juv),Robertus lividus,0.000229612,0.008396656
Phalangiidae sp. (juv),Robertus lividus,0.005966949,0.008396656
Amara aenea,Geophilus electricus,0.048427875,0.00996843
Amaurobius sp. (juv),Geophilus electricus,0.012068147,0.00996843
Aegopinella nitens (juv),Trogulus nepaeformis,0.009240836,0.085596011
Allaiulus nitidus (juv) {l},Trogulus nepaeformis,0.001395388,0.085596011
Lithobius sp.,Trogulus nepaeformis,0.00359344,0.085596011
Schendyla nemorensis,Trogulus nepaeformis,0.005111424,0.085596011
Tenuiphantes tenuis,Trogulus nepaeformis,0.001997645,0.085596011
Geophilus electricus,Molops piceus,0.00996843,0.110875648
Aporrectodea rosea,Carabidae sp. (juv),0.219642857,0.623319917
