Prey,Predator,PreyMass,PredatorMass
Bachelotia sp,PhytoP,0.000228,0.0001
Bachelotia sp,Ulva lactuca,0.000228,0.000228
PhytoP,Ulva lactuca,0.0001,0.000228
Clibanarius vittatus,Copepoda,0.01,0.001
Copepoda,Eriphia gonagra,0.001,0.01
Clibanarius vittatus,Morula nodulosa,0.01,1.51
Copepoda,Morula nodulosa,0.001,1.51
Eriphia gonagra,Morula nodulosa,0.01,1.51
Clibanarius vittatus,Crassostrea virginica,0.01,8.59
Clibanarius vittatus,Strombus sp.,0.01,11.9
Copepoda,Strombus sp.,0.001,11.9
Crassostrea virginica,Strombus sp.,8.59,11.9
Eriphia gonagra,Strombus sp.,0.01,11.9
Morula nodulosa,Strombus sp.,1.51,11.9
