Prey,Predator,PreyMass,PredatorMass
root exudates,root feeding nematodes,-999,2.35e-07
Enchytraeidae,Oribatida sp. (juv),-999,7.36e-07
Enchytraeidae,Suctobelbella sp.,-999,6.17e-06
Enchytraeidae,Oppiella nova,-999,8.99e-06
Enchytraeidae,Oppiella subpectinata,-999,1.52e-05
Oribatida sp. (juv),Veigaia exigua,7.36e-07,1.59e-05
Stenaphorura denisi,Veigaia exigua,4.75e-06,1.59e-05
Coelotes sp. (juv) {l},Phalangiidae sp. (juv),0.003123892,0.005966949
Nargus anisotomoides,Phalangiidae sp. (juv),0.001385543,0.005966949
Coelotes sp. (juv) {l},Coelotes terrestris,0.003123892,0.03574029
Abax ovalis,Abax parallelepipedus,0.178420123,0.427211499
