Score,Label
0.20623,1
0.9986302,1
0.9986302,1
0.20623,1
0.00822865,1
0.01052522,1
0.00822865,1
0.04958364,1
0.00822865,1
0.07619497,1
0.3968828,1
0.07619497,1
0.9999996,1
0.7175309,1
0.1203036,1
0.9986302,1
0.1770257,1
0.9869611,1
0.001908798,1
0.7529039,1
0.01052522,1
0.00822865,1
0.04958364,1
0.9530823,1
0.00822865,1
0.07619497,1
0.04958364,1
0.9980803,1
0.3324078,1
0.04958364,1
0.9986302,1
0.9999967,1
0.9962165,1
0.9999998,1
0.9999528,1
0.9929984,1
0.9999019,1
0.01894014,1
0.008279053,1
0.9172282,1
0.01894014,1
0.1483087,1
0.9172282,1
0.9263988,1
1,1
0.9903771,1
0.9999996,1
0.9979969,1
0.001908798,1
0.01224887,1
0.9999977,1
0.01052522,1
0.001908798,1
0.9999998,1
1,1
0.9357844,1
0.9874479,1
0.9999985,1
0.9999846,1
0.9903771,1
0.9897719,1
0.9874479,1
1,1
0.8318765,1
0.9999019,1
0.9999108,1
0.09463633,1
0.009517512,1
0.01052522,1
0.00822865,1
0.04958364,1
0.00822865,1
0.07619497,1
0.001908798,1
0.1770257,1
0.3324078,1
0.04958364,1
0.3698121,1
0.07619497,1
0.9999492,1
0.04958364,1
0.00822865,1
0.123441,1
0.04958364,1
0.9986302,1
0.9906752,1
0.9726461,1
0.2425708,1
0.9995814,1
0.09313178,1
0.9821302,1
0.9953598,1
1,1
0.007840429,1
0.9989743,1
0.9999985,1
0.9999783,1
0.9999632,1
0.9999999,1
0.9990844,1
0.9999988,1
0.9986302,1
0.9906752,1
0.9726461,1
0.2425708,1
0.9530823,1
0.04958364,1
0.01052522,1
0.001908798,1
0.008198426,1
0.01052522,1
0.00822865,1
0.04958364,1
0.00822865,1
0.07619497,1
0.04958364,1
0.3698121,1
0.07619497,1
0.9999492,1
0.04958364,1
0.9999758,1
0.04958364,1
0.00822865,1
0.00822865,1
0.9998193,1
0.9999776,1
0.7160371,1
0.7452391,1
0.9990849,1
0.02336881,1
0.9999868,1
0.9172282,1
0.9998193,1
0.7452391,1
0.9999776,1
0.9172282,1
0.7578261,1
0.9986302,1
0.9906752,1
0.9726461,1
0.2425708,1
0.07619497,1
0.9980803,1
0.3324078,1
0.04958364,1
0.01052522,1
0.001908798,1
0.9981452,1
0.9980867,1
0.9999884,1
0.3408471,1
0.9982592,1
0.9995814,1
0.3408471,1
1,1
0.007840429,1
0.9992446,1
0.9993192,1
0.5026645,1
0.3408471,1
0.9999472,1
0.5055656,1
0.9992446,1
1,1
0.5026645,1
0.9999776,1
0.9983298,1
0.00822865,1
0.9987906,1
0.00822865,1
0.00822865,1
0.9999994,1
0.9962165,1
0.4892246,1
0.9996077,1
0.9985373,1
0.9983298,1
1,1
0.4981703,1
0.4981703,1
0.9999605,1
0.4981703,1
0.9999998,1
0.4981703,1
0.4981703,1
0.9999605,1
0.9998019,1
0.999994,1
0.4981703,1
0.4981703,1
0.999994,1
0.4981703,1
1,1
0.9881321,1
1,1
0.4981703,1
0.4981703,1
0.4981703,1
0.4981703,1
1,1
0.9983298,1
0.009160957,1
0.20623,1
0.9758427,1
0.9897719,1
0.9999019,1
0.02336881,1
0.9983298,1
0.009160957,1
0.9986284,1
0.6759892,1
0.06576698,1
0.9172282,1
0.9995381,1
0.9968222,1
0.9987906,1
0.9929984,1
0.9989319,1
0.9984968,1
0.9981593,1
0.03274903,1
0.9821302,1
0.9984968,1
0.9999824,1
0.997908,1
0.9801764,1
0.9984968,1
0.9999048,1
0.9984968,1
0.9999048,1
0.9801764,1
0.9997818,1
0.9999975,1
1,1
0.3302633,1
0.3302633,1
0.9983298,1
0.009160957,1
0.3123293,1
0.7463945,1
0.9999993,1
0.4892246,1
0.3324078,1
0.4892246,1
0.9999993,1
0.03611758,1
0.3324078,1
0.9995814,1
0.7160371,1
0.3324078,1
0.9998116,1
0.3245689,1
0.3324078,1
0.03611758,1
0.9995814,1
0.4716402,1
0.1203036,1
0.9999993,1
0.3324078,1
0.6167352,1
0.997908,1
0.3324078,1
0.9992796,1
0.4892246,1
0.9998036,1
0.6167352,1
0.6759892,1
0.6759892,1
0.7160371,1
0.9999924,1
0.9999897,1
0.9999855,1
0.9999791,1
0.9993518,1
0.9978829,1
0.9997438,1
0.9750407,1
0.9172282,1
0.9968222,1
0.9993518,1
0.9990957,1
0.9968222,1
0.9744638,1
0.9993518,1
0.9955164,1
0.9999987,1
0.4936569,1
0.9968222,1
0.9993518,1
0.9999779,1
0.9978829,1
0.9172282,1
0.9172282,1
0.9999974,1
0.001680385,1
0.02937078,1
0.02937078,1
0.9993192,1
0.1968599,1
0.9992796,1
0.9999907,1
0.5026645,1
0.4892246,1
0.9999783,1
0.9983298,1
0.9955164,1
0.9999993,1
0.9982011,1
0.9955164,1
0.3215388,1
0.999999,1
0.9993192,1
0.01826566,1
0.9016375,1
1,1
0.9994936,1
0.9994873,1
0.3215388,1
1,1
0.9140295,1
0.9994936,1
0.9999201,1
0.9996541,1
0.9999855,1
0.9999753,1
0.02273491,1
0.3451651,1
0.02273491,1
0.9778616,1
0.999571,1
0.9982592,1
0.9999992,1
0.9172282,1
0.9998193,1
0.9994936,1
0.9995814,1
1,1
0.9172282,1
0.7452391,1
0.9999897,1
0.1229843,1
0.02273491,1
1,1
0.9998193,1
0.7452391,1
0.9998193,1
0.9172282,1
0.9999863,1
1,1
0.9999764,1
0.9172282,1
0.9999924,1
0.9999998,1
0.9999924,1
0.9172282,1
0.7160371,1
0.9999863,1
0.20623,1
0.9903771,1
0.9999998,1
0.9999019,1
0.9999863,1
0.1514458,1
0.9666026,1
1,1
0.007840429,1
0.9995814,1
0.9983298,1
0.009160957,1
1,1
1,1
0.4981703,1
0.9998831,1
0.999994,1
0.999994,1
0.4981703,1
0.999994,1
1,1
1,1
1,1
0.9172282,1
1,1
0.9999992,1
1,1
0.7160371,1
0.7506374,1
0.1272959,1
0.9999992,1
1,1
0.999994,1
0.9990987,1
0.9758427,1
0.414996,1
0.3968828,1
0.9999824,1
0.009842088,1
0.9990849,1
0.09651442,1
0.6462592,1
0.9996541,1
0.9999851,1
0.9999472,1
0.001680385,1
0.001680385,1
0.9750407,1
0.9854655,1
0.9854655,1
0.9955164,1
0.9854655,1
0.9172282,1
1,1
0.0131807,1
0.9854655,1
0.9172282,1
0.9999948,1
0.9982011,1
0.9986302,1
0.9906752,1
0.9726461,1
0.2425708,1
0.3215388,1
0.7452391,1
0.9980867,1
0.3698121,1
0.00822865,1
0.4948546,1
0.9869611,1
0.3324078,1
0.9962165,1
0.9996077,1
1,1
0.9999958,1
0.9999967,1
0.9985373,1
0.9997045,1
0.9999985,1
0.9996077,1
0.9999994,1
0.06576698,1
0.9999994,1
0.7160371,1
0.3324078,1
0.9962165,1
0.9966658,1
0.7160371,1
0.9995814,1
0.3324078,1
0.9999994,1
0.7160371,1
0.4892246,1
0.9997274,1
0.9935679,1
0.9997274,1
0.9996378,1
