Prey,Predator,PreyMass,PredatorMass
Carteria sp.,Kelicottia bostoniensis,9.71e-09,2e-08
Cryptomonas erosa,Kelicottia bostoniensis,4.75e-11,2e-08
Cryptomonas ovata,Trichocerca multicrinis,4.75e-11,1.23e-06
Carteria sp.,Conochiloides dossuarius,9.71e-09,1.83e-06
Cryptomonas ovata,Synchaeta sp.,4.75e-11,1.37e-05
Cryptomonas erosa,Diaptomus minutus,4.75e-11,1.44e-05
Carteria sp.,copepod nauplii,9.71e-09,0.001812356
Mesocyclops edax,fish fry,1e-05,0.016
Nitzschia sp.,fish fry,1.26e-10,0.016
Peridinium inconspicuum,fish fry,5.6e-08,0.016
Trichocerca multicrinis,fish fry,1.23e-06,0.016
Zygnema sp.,fish fry,2.57e-08,0.016
Bosmina longirostris,Notemigonus crysoleucas,1.55e-06,7
Keratella cochlearis,Notemigonus crysoleucas,1e-08,7
