Prey,Predator,PreyMass,PredatorMass
Acetes americanus,Carcinus sp.,0.00680220671328671,-999
Acetes americanus,Detritus,0.00680220671328671,-999
Acetes americanus,Portunus spinimanus,0.00680220671328671,-999
Actinophrys sol,Detritus,5.95e-08,-999
Alpheus heterochaelis,Detritus,0.092771797,-999
Arenaeus cribrarius,Detritus,122,-999
Calanus finmarchicus,Detritus,0.000171891,-999
Callinectes similis,Sediment,320,-999
Carcinus sp.,Detritus,-999,-999
Chaetopleura apiculata,Detritus,0.011827192,-999
Chaoboridae,Sediment,0.050638714,-999
Clupea harengus,Detritus,160.08754297275,-999
Clytia sp.,Detritus,0.011827192,-999
Cottus sp.,Detritus,71.39182572,-999
Crangon septemspinosa,Detritus,0.4,-999
Cyanobacteria,Macroalgae,1.26e-11,-999
Cyanobacteria,Portunus spinimanus,1.26e-11,-999
Detritus,Macroalgae,-999,-999
Detritus,Portunus spinimanus,-999,-999
Detritus,Sediment,-999,-999
Diatoms,Macroalgae,2.53e-09,-999
Diatoms,Portunus spinimanus,2.53e-09,-999
Diatoms,Sediment,2.53e-09,-999
Dinoflagellata,Macroalgae,2.53e-09,-999
Dinoflagellata,Sediment,2.53e-09,-999
Elysia catula,Macroalgae,0.001726663,-999
Eurypanopeus depressus,Sediment,1,-999
Fistularia tabacaria,Paravortex genellipara,486.4871785,-999
Foraminifera,Sediment,5.88e-05,-999
Illex illecebrosus,Portunus spinimanus,9.91547691,-999
Lucifer faxoni,Portunus spinimanus,0.007402367,-999
Lysmata wurdemanni,Sediment,0.000171891,-999
Munida sp.,Portunus spinimanus,4,-999
Other algae,Portunus spinimanus,5.95e-08,-999
Other algae,Sediment,5.95e-08,-999
Acetes americanus,Chironomidae,0.00680220671328671,-76.6655864344615
Acteocina canaliculata,Cyanobacteria,0.001177408,1.26e-11
Actinophrys sol,Cyanobacteria,5.95e-08,1.26e-11
Alpheus normanni,Cyanobacteria,0.004045752,1.26e-11
Arenaeus cribrarius,Cyanobacteria,122,1.26e-11
Calanus finmarchicus,Cyanobacteria,0.000171891,1.26e-11
Carcinus sp.,Cyanobacteria,-999,1.26e-11
Ceriantheopsis americanus,Cyanobacteria,2.724287752,1.26e-11
Chaoboridae,Cyanobacteria,0.050638714,1.26e-11
Chironomidae,Cyanobacteria,-76.6655864344615,1.26e-11
Clytia sp.,Cyanobacteria,0.011827192,1.26e-11
Cottus sp.,Cyanobacteria,71.39182572,1.26e-11
Crangon septemspinosa,Cyanobacteria,0.4,1.26e-11
Acetes americanus,Dinoflagellata,0.00680220671328671,2.53e-09
Acteocina canaliculata,Dinoflagellata,0.001177408,2.53e-09
Actinophrys sol,Dinoflagellata,5.95e-08,2.53e-09
