Prey,Predator,PreyMass,PredatorMass
polysiphonia_spp,trimusculus peruvianus,-999,-999
rama novazelandensis,trimusculus peruvianus,-999,-999
centroceras spp.,siphonaria lesoni,-999,0.018
colpomenia phaeodactyla,siphonaria lesoni,-999,0.018
montemaria horridula,siphonaria lesoni,-999,0.018
schottera nicaensis,siphonaria lesoni,-999,0.018
schyzimenia doryophora,siphonaria lesoni,-999,0.018
Gelidium chilensis,lottia  orbigny,-999,0.02
balanus laevis,lottia  orbigny,0.05,0.02
ectocarpus silicosus,scurria  plana,-999,0.03
benthic_diatoms,scurria variabilis,-999,0.3
nothobalanus flosculus,scurria variabilis,0.05,0.3
mazzaella laminarioides,tegula atra,-999,1
montemaria horridula,tegula atra,-999,1
rama novazelandensis,tegula atra,-999,1
centroceras spp.,scurria scurra,-999,1.27
acanthina monodon,concholepas concholepas,8,2.3
plankton,pyura chilensis,1e-05,2.91
rama novazelandensis,scurria zebrina,-999,2.97
Nodilittorina peruviana,acanthocyclus gayi,0.0129,6.01
benthic_diatoms,tonicia  benaventii,-999,6.14
benthic_diatoms,tonicia  chilensis,-999,6.14
centroceras spp.,tonicia  chilensis,-999,6.14
ceramium spp.,tonicia  benaventii,-999,6.14
lithothamnion spp.,tonicia  chilensis,-999,6.14
montemaria horridula,tonicia  benaventii,-999,6.14
montemaria horridula,tonicia  chilensis,-999,6.14
montemaria horridula,tonicia  elegans,-999,6.14
acanthocyclus gayi,acanthocyclus hassleri,6.01,6.65
Nodilittorina peruviana,stichaster striatus,0.0129,8.7
austromegabalanus psittacus,stichaster striatus,0.95,8.7
balanus laevis,stichaster striatus,0.05,8.7
acanthocyclus gayi,anthotoe spp.,6.01,10
acanthocyclus gayi,parantheopsis ,6.01,10
acanthocyclus hassleri,anthotoe spp.,6.65,10
concholepas concholepas,parantheopsis ,2.3,10
fissurella  costata,parantheopsis ,49.03,10
acanthocyclus gayi,isolauctis spp.,6.01,11
chondrus  canaliculatus,fissurella  maxima,-999,11
concholepas concholepas,isolauctis spp.,2.3,11
durvillaea antarctica,fissurella  maxima,-999,11
fissurella  costata,isolauctis spp.,49.03,11
fissurella  cummingii,fissurella  maxima,18,11
acanthocyclus gayi,bunodactis spp.,6.01,12
chondrus  canaliculatus,fissurella  crassa,-999,15.2
Nodilittorina peruviana,heliaster helianthus,0.0129,173.46
acanthina monodon,heliaster helianthus,8,173.46
acanthocyclus gayi,heliaster helianthus,6.01,173.46
concholepas concholepas,heliaster helianthus,2.3,173.46
