Prey,Predator,PreyMass,PredatorMass
Aphidoidea,Philodromidae,0.00120563068965517,0.000147165
Cecidomyiidae,Philodromidae,5.32e-05,0.000147165
Ceratopogonidae,Philodromidae,0.000926708314285714,0.000147165
Chloropidae,Philodromidae,0.001634522,0.000147165
Cicadina,Philodromidae,0.000356719,0.000147165
Ephydridae,Philodromidae,0.000531552,0.000147165
Microphysidae,Philodromidae,0.000244328,0.000147165
Edaphus blŸhweissi,Meioneta rurestris,6.72e-05,0.000172729
Acari pred,Microphysidae,3.45e-05,0.000244328
Aphidoidea,Thomisidae,0.00120563068965517,0.000291221
Cecidomyiidae,Thomisidae,5.32e-05,0.000291221
Chrysopidae,Thomisidae,0.000797328,0.000291221
Cicadina,Thomisidae,0.000356719,0.000291221
Cicadoidea,Thomisidae,0.000374839916666667,0.000291221
Clubiona sp,Thomisidae,0.000397277,0.000291221
Delphacidae,Thomisidae,0.001175216,0.000291221
Empididae,Thomisidae,0.000531552,0.000291221
Ephydridae,Thomisidae,0.000531552,0.000291221
Haplothrips sp,Thomisidae,0.000294922,0.000291221
Heteroptera,Thomisidae,0.00130471,0.000291221
Hypostenus latifrons,Thomisidae,0.000490858,0.000291221
Microphysidae,Thomisidae,0.000244328,0.000291221
Pentatomidae,Thomisidae,0.000244328,0.000291221
Phlaeothripidae phyto,Thomisidae,0.000589844,0.000291221
Phlaeothripidae pred,Thomisidae,0.000589844,0.000291221
Sciaridae,Thomisidae,0.000661782,0.000291221
Sphaerocidae,Thomisidae,0.000409295,0.000291221
Sternorrhyncha,Thomisidae,0.000144398,0.000291221
Delphacinae,Dolomedes sp,0.003420588,0.000299858
Aphidoidea,Clubiona sp,0.00120563068965517,0.000397277
Ceratopogonidae,Clubiona sp,0.000926708314285714,0.000397277
Chloropidae,Clubiona sp,0.001634522,0.000397277
Chartoscirta cincta,Hypostenus latifrons,0.003884811,0.000490858
Chrysopidae,Hypostenus latifrons,0.000797328,0.000490858
Cicadina,Hypostenus latifrons,0.000356719,0.000490858
Fulgoroidea,Hypostenus latifrons,0.000691448,0.000490858
Cicadoidea,Gongylidiellum murcidum,0.000374839916666667,0.000518187
Aphidoidea,Empididae,0.00120563068965517,0.000531552
Ceratopogonidae,Empididae,0.000926708314285714,0.000531552
Cicadina,Empididae,0.000356719,0.000531552
Cicadoidea,Empididae,0.000374839916666667,0.000531552
Cicadoidea,Ephydridae,0.000374839916666667,0.000531552
Ceratopogonidae,Philodromus sp,0.000926708314285714,0.00057346
Chloropidae,Philodromus sp,0.001634522,0.00057346
Chrysopidae,Philodromus sp,0.000797328,0.00057346
Cicadina,Philodromus sp,0.000356719,0.00057346
Delphacidae,Philodromus sp,0.001175216,0.00057346
Deltocephalinae,Philodromus sp,0.000244328,0.00057346
Empididae,Philodromus sp,0.000531552,0.00057346
Ephydridae,Philodromus sp,0.000531552,0.00057346
Fulgoroidea,Philodromus sp,0.000691448,0.00057346
Heteroptera,Philodromus sp,0.00130471,0.00057346
Jassidae,Philodromus sp,0.000576613,0.00057346
Microphysidae,Philodromus sp,0.000244328,0.00057346
Aphidoidea,Hypostenus sp,0.00120563068965517,0.000736287
Aphidoidea,Nestus carbonarius,0.00120563068965517,0.000736287
Bathyphantes gracilis,Hypostenus sp,0.00077728,0.000736287
Bathyphantes gracilis,Nestus carbonarius,0.00077728,0.000736287
Chartoscirta cincta,Hypostenus sp,0.003884811,0.000736287
Chrysopidae,Hypostenus sp,0.000797328,0.000736287
Cicadoidea,Hypostenus sp,0.000374839916666667,0.000736287
Cicadoidea,Nestus carbonarius,0.000374839916666667,0.000736287
Edaphus blŸhweissi,Nestus carbonarius,6.72e-05,0.000736287
Fulgoroidea,Hypostenus sp,0.000691448,0.000736287
Gnathonarium dentatum,Hypostenus sp,0.001554561,0.000736287
Haplothrips sp,Nestus carbonarius,0.000294922,0.000736287
Heteroptera,Hypostenus sp,0.00130471,0.000736287
Heteroptera,Nestus carbonarius,0.00130471,0.000736287
Hypostenus latifrons,Nestus carbonarius,0.000490858,0.000736287
Jassidae,Nestus carbonarius,0.000576613,0.000736287
Lesteva sicula,Nestus carbonarius,0.001718004,0.000736287
Linyphiidae,Nestus carbonarius,0.00061837,0.000736287
Lycosidae,Nestus carbonarius,0.0071032205,0.000736287
Microphysidae,Nestus carbonarius,0.000244328,0.000736287
Cicadina,Satilatlas britteni,0.000356719,0.00077728
Edaphus blŸhweissi,Satilatlas britteni,6.72e-05,0.00077728
Psychodidae,Satilatlas britteni,0.000744173,0.00077728
Aphidoidea,Marpissa sp,0.00120563068965517,0.000842918
Cicadoidea,Marpissa sp,0.000374839916666667,0.000842918
Clubiona sp,Marpissa sp,0.000397277,0.000842918
Fulgoroidea,Marpissa sp,0.000691448,0.000842918
Heteroptera,Marpissa sp,0.00130471,0.000842918
Jassidae,Marpissa sp,0.000576613,0.000842918
Chartoscirta cincta,Tetragnatha sp,0.003884811,0.001088193
Chloropidae,Tetragnatha sp,0.001634522,0.001088193
Chrysopidae,Tetragnatha sp,0.000797328,0.001088193
Haplothrips sp,Tetragnatha sp,0.000294922,0.001088193
Phlaeothripidae phyto,Tetragnatha sp,0.000589844,0.001088193
Phlaeothripidae pred,Tetragnatha sp,0.000589844,0.001088193
Sciaridae,Tetragnatha sp,0.000661782,0.001088193
Sphaerocidae,Tetragnatha sp,0.000409295,0.001088193
Cicadoidea,Trichopterna thorelli,0.000374839916666667,0.001381832
Cicadina,Gnathonarium dentatum,0.000356719,0.001554561
Antistea elegans,Lesteva sicula,0.00167393585185185,0.001718004
Aphidoidea,Lesteva sicula,0.00120563068965517,0.001718004
Araeoncus humilis,Lesteva sicula,0.000172729,0.001718004
Bathyphantes setiger,Lesteva sicula,0.00077728,0.001718004
Chrysopidae,Lesteva sicula,0.000797328,0.001718004
Cicadoidea,Lesteva sicula,0.000374839916666667,0.001718004
Deltocephalinae,Lesteva sicula,0.000244328,0.001718004
Edaphus blŸhweissi,Lesteva sicula,6.72e-05,0.001718004
Fulgoroidea,Lesteva sicula,0.000691448,0.001718004
Gnathonarium dentatum,Lesteva sicula,0.001554561,0.001718004
Gongylidiellum murcidum,Lesteva sicula,0.000518187,0.001718004
Heteroptera,Lesteva sicula,0.00130471,0.001718004
Hypostenus latifrons,Lesteva sicula,0.000490858,0.001718004
Jassidae,Lesteva sicula,0.000576613,0.001718004
Chrysopidae,Pachygnatha sp,0.000797328,0.002103839
Cicadoidea,Pachygnatha sp,0.000374839916666667,0.002103839
Deltocephalinae,Pachygnatha sp,0.000244328,0.002103839
Heteroptera,Pachygnatha sp,0.00130471,0.002103839
Aphidoidea,Dolichopus nubilius,0.00120563068965517,0.002391983
Callitula ferrierei,Dolichopus nubilius,7.97e-05,0.002391983
Ceratopogonidae,Dolichopus nubilius,0.000926708314285714,0.002391983
Chrysopidae,Dolichopus nubilius,0.000797328,0.002391983
Delphacinae,Dolichopus nubilius,0.003420588,0.002391983
Deltocephalinae,Dolichopus nubilius,0.000244328,0.002391983
Aphidoidea,Staphylinidae,0.00120563068965517,0.002749973
Chartoscirta cincta,Staphylinidae,0.003884811,0.002749973
Chrysopidae,Staphylinidae,0.000797328,0.002749973
Cicadina,Staphylinidae,0.000356719,0.002749973
Cicadoidea,Staphylinidae,0.000374839916666667,0.002749973
Delphacidae,Staphylinidae,0.001175216,0.002749973
Delphacinae,Staphylinidae,0.003420588,0.002749973
Edaphus blŸhweissi,Staphylinidae,6.72e-05,0.002749973
Gongylidiellum murcidum,Staphylinidae,0.000518187,0.002749973
Haplothrips sp,Staphylinidae,0.000294922,0.002749973
Helicidae,Staphylinidae,0.143090285,0.002749973
Hypostenus latifrons,Staphylinidae,0.000490858,0.002749973
Hypostenus sp,Staphylinidae,0.000736287,0.002749973
Jassidae,Staphylinidae,0.000576613,0.002749973
Lycosidae,Staphylinidae,0.0071032205,0.002749973
Meioneta rurestris,Staphylinidae,0.000172729,0.002749973
Nestus carbonarius,Staphylinidae,0.000736287,0.002749973
Oxychilus cellarius,Staphylinidae,0.162594915,0.002749973
Oxyloma elegans,Staphylinidae,0.311619825722222,0.002749973
Pentatomidae,Staphylinidae,0.000244328,0.002749973
Pirata tenuitarsis,Staphylinidae,0.006252789,0.002749973
Hypostenus latifrons,Pirata sp,0.000490858,0.002860392
Ceratopogonidae,Theridion pictum,0.000926708314285714,0.002936393
Chloropidae,Theridion pictum,0.001634522,0.002936393
Cicadina,Theridion pictum,0.000356719,0.002936393
Cicadoidea,Theridion pictum,0.000374839916666667,0.002936393
Clubiona stagnatilis,Theridion pictum,0.024527516,0.002936393
Coenagrion sp,Theridion pictum,0.024773458,0.002936393
Conocephalus dorsalis,Theridion pictum,0.069007887,0.002936393
Delphacinae,Theridion pictum,0.003420588,0.002936393
Deltocephalinae,Theridion pictum,0.000244328,0.002936393
Dolichopus nubilius,Theridion pictum,0.002391983,0.002936393
Empididae,Theridion pictum,0.000531552,0.002936393
Ephydridae,Theridion pictum,0.000531552,0.002936393
Episyrphus balteatus,Theridion pictum,0.009833708,0.002936393
Fulgoroidea,Theridion pictum,0.000691448,0.002936393
Haematopota sp,Theridion pictum,0.007707501,0.002936393
Herina frondescentiae,Theridion pictum,0.001568078,0.002936393
Heteroptera,Theridion pictum,0.00130471,0.002936393
Jassidae,Theridion pictum,0.000576613,0.002936393
Leptoceridae,Theridion pictum,0.006193365,0.002936393
Limnobaris dolorosa,Theridion pictum,0.011289741,0.002936393
Muscidae flor,Theridion pictum,0.001262436,0.002936393
Nemotelus pantherinus,Theridion pictum,0.001594655,0.002936393
Pachybrachius sp,Theridion pictum,0.004984286,0.002936393
Pentatomidae,Theridion pictum,0.000244328,0.002936393
Pherbina coryleti,Theridion pictum,0.00903638,0.002936393
Rhinophoridae,Theridion pictum,0.001594655,0.002936393
Rhopalum sp,Theridion pictum,0.001860431,0.002936393
Saltatoria,Theridion pictum,0.196220131,0.002936393
Sarcophagidae,Theridion pictum,0.02391983,0.002936393
Sepedon spinipes,Theridion pictum,0.011428363,0.002936393
Sphaerocidae,Theridion pictum,0.000409295,0.002936393
Stratiomyidae,Theridion pictum,0.015149226,0.002936393
Ceratopogonidae,Chartoscirta cincta,0.000926708314285714,0.003884811
Acari phyto,Nabidae,3.45e-05,0.004471197
Aphidoidea,Nabidae,0.00120563068965517,0.004471197
Ceratopogonidae,Nabidae,0.000926708314285714,0.004471197
Chartoscirta cincta,Nabidae,0.003884811,0.004471197
Cicadina,Nabidae,0.000356719,0.004471197
Cicadoidea,Nabidae,0.000374839916666667,0.004471197
Delphacidae,Nabidae,0.001175216,0.004471197
Deltocephalinae,Nabidae,0.000244328,0.004471197
Haplothrips sp,Nabidae,0.000294922,0.004471197
Heteroptera,Nabidae,0.00130471,0.004471197
Jassidae,Nabidae,0.000576613,0.004471197
Marpissa sp,Nabidae,0.000842918,0.004471197
Chrysopidae,Tetragnatha pinicola,0.000797328,0.005458236
Dolichopus nubilius,Tetragnatha pinicola,0.002391983,0.005458236
Herina frondescentiae,Tetragnatha pinicola,0.001568078,0.005458236
Herina parva,Tetragnatha pinicola,0.00132888,0.005458236
Muscidae copro,Tetragnatha pinicola,0.001262436,0.005458236
Muscidae flor,Tetragnatha pinicola,0.001262436,0.005458236
Phlaeothripidae pred,Tetragnatha pinicola,0.000589844,0.005458236
Rhinophoridae,Tetragnatha pinicola,0.001594655,0.005458236
Chartoscirta cincta,Pirata tenuitarsis,0.003884811,0.006252789
Chrysopidae,Pirata tenuitarsis,0.000797328,0.006252789
Cicadoidea,Pirata tenuitarsis,0.000374839916666667,0.006252789
