Prey,Predator,PreyMass,PredatorMass
Eunotia exigua,Silo pallipes,3.55e-10,0.000198415
Eunotia exigua,Protonemura meyeri,3.55e-10,0.000210789
Eunotia rhomboidea,Protonemura meyeri,2.99e-10,0.000210789
Eunotia exigua,Leuctra inermis,3.55e-10,0.000230615
Diatoma hyemale quadratum,Limnius volckmari,3.93e-10,0.000336527
Eunotia exigua,Limnius volckmari,3.55e-10,0.000336527
Baetis rhodani,Isoperla grammatica,0.000435956,0.000375824
Baetis rhodani,Siphonoperla torrentium,0.000435956,0.000391709
Isoperla grammatica,Siphonoperla torrentium,0.000375824,0.000391709
Leuctra inermis,Siphonoperla torrentium,0.000230615,0.000391709
Eunotia,Tipulidae,6.18e-10,0.0004928
Eunotia rhomboidea,Tipulidae,2.99e-10,0.0004928
FPOM,Tipulidae,-999,0.0004928
Tabellaria flocculosa,Tipulidae,1e-09,0.0004928
Chloroperla tripunctata,Tanypodinae,0.000732336,0.000708741
FPOM,Tanypodinae,-999,0.000708741
Baetis,Chloroperla tripunctata,3.73e-05,0.000732336
Baetis muticus,Chloroperla tripunctata,0.000143742,0.000732336
Baetis scambus,Chloroperla tripunctata,0.000257178,0.000732336
Chironomidae,Chloroperla tripunctata,0.000110525,0.000732336
Chironomidae,Gyrinidae,0.000110525,0.000806916
FPOM,Gammarus pulex,-999,0.001120264
Baetis muticus,Diplectrona felix,0.000143742,0.001587945
Baetis vernus,Diplectrona felix,0.000146815,0.001587945
Baetis scambus,Hydropsyche siltalai,0.000257178,0.00168697
Eunotia,Hydropsyche siltalai,6.18e-10,0.00168697
FPOM,Hydropsyche siltalai,-999,0.00168697
Gammarus pulex,Hydropsyche siltalai,0.001120264,0.00168697
Eunotia exigua,Philopotamus montanus,3.55e-10,0.002216887
FPOM,Philopotamus montanus,-999,0.002216887
Frustulia rhomboides saxonica,Philopotamus montanus,7.45e-10,0.002216887
Baetis vernus,Perla bipunctata,0.000146815,0.005433
Electrogena lateralis,Perla bipunctata,0.000454421,0.005433
Ancylus fluviatilis,Salmo trutta,0.00556779,3.370160368
Chloroperla tripunctata,Salmo trutta,0.000732336,3.370160368
Diplectrona felix,Salmo trutta,0.001587945,3.370160368
Isoperla grammatica,Salmo trutta,0.000375824,3.370160368
Limnius volckmari,Salmo trutta,0.000336527,3.370160368
Protonemura meyeri,Salmo trutta,0.000210789,3.370160368
