Prey,Predator,PreyMass,PredatorMass
Codium sp.,PhytoP,0.000228,0.0001
Corallina officinalis,PhytoP,0.000228,0.0001
Cystoseira sp.,PhytoP,0.000228,0.0001
Dictyota dichotoma,PhytoP,0.000228,0.0001
Ellisolandia elongata,PhytoP,0.000228,0.0001
Gelidium spinosum,PhytoP,0.000228,0.0001
Lithophyllum sp.,PhytoP,0.000228,0.0001
PhytoP,Porphyra sp.,0.0001,0.000228
PhytoP,Sphacelaria cirrosa,0.0001,0.000228
PhytoP,Ulva lactuca,0.0001,0.000228
Pantopoda,Turritellidae,0.0014,0.0009
Actinia fragacea,Pantopoda,14,0.0014
Anemonia sulcata,Pantopoda,15,0.0014
Epitonium clathrus,Pantopoda,0.0033,0.0014
Lepidotrigla sp.,Pantopoda,0.01,0.0014
Omalogyra atomus,Pantopoda,0.0006,0.0014
Pantopoda,Rissoidae,0.0014,0.0026
Pantopoda,Tricolia pullus,0.0014,0.0082
Pantopoda,Paracentrotus lividus,0.0014,7.48
Pantopoda,Sagartia elegans,0.0014,18
