Prey,Predator,PreyMass,PredatorMass
Ceramium ciliatum,Gammaridae,0.000228,0.0004
Colpomenia peregrina,Gammaridae,0.000228,0.0004
Ellisolandia elongata,Insecta,0.000228,0.0007
PhytoP,Zooplankton,0.0001,0.001
PhytoP,Turtonia minuta,0.0001,0.0019
Musculus costulatus,Nucella sp.,0.0062,0.0094
Mytilus galloprovincialis,Nucella sp.,0.203,0.0094
Colpomenia peregrina,Palaemon longirostris,0.000228,0.098
Balanus sp.,Lipophrys pholis,0.01,0.13
Lepidochitona cinerea,Lipophrys pholis,0.187,0.13
Ceramium ciliatum,Gibbula umbilicalis,0.000228,0.145
Ceramium ciliatum,Gobius paganellus,0.000228,0.17
Ceramium ciliatum,Lepadogaster lepadogaster,0.000228,0.35
Colpomenia peregrina,Lepadogaster lepadogaster,0.000228,0.35
Colpomenia peregrina,Lophozozymus incisus,0.000228,0.45
