Prey,Predator,PreyMass,PredatorMass
Cinclodes nifrofumanus,centroceras spp.,280,-999
Gelidium chilensis,glossophora kunthii,-999,-999
Larus dominicanus,Sarcothalia crispata,500,-999
Larus dominicanus,bryopsis_spp,500,-999
Rhodymenia skottsbergii,mazzaella laminarioides,-999,-999
acanthina monodon,benthic_diatoms,8,-999
acanthina monodon,petroglossum spp.,8,-999
acanthocyclus hassleri,durvillaea antarctica,6.65,-999
acanthocyclus hassleri,enteromorpha compressa,6.65,-999
acanthopleura echinata,codium dimorpha,5.1,-999
anthotoe spp.,rhizoclonium cilindricum,10,-999
austrolittorina araucana,centroceras spp.,0.0068,-999
brachidontes granulata,halopteris funicularis,0.08,-999
brachidontes granulata,porphyra_spp,0.08,-999
bryopsis_spp,glossophora kunthii,-999,-999
bryopsis_spp,petrolisthes punctatus,-999,-999
bunodactis spp.,polysiphonia_spp,12,-999
bunodactis spp.,trimusculus peruvianus,12,-999
centroceras spp.,ralfsia spp.,-999,-999
ceramium spp.,corallina offcinalis var. chilensis,-999,-999
ceramium spp.,ulvella spp.,-999,-999
chaetopleura peruviana,schottera nicaensis,0.18,-999
chiton  cummingii,petrolisthes tuberculosus,8.23,-999
chiton  cummingii,rama novazelandensis,8.23,-999
chiton  granosus,colpomenia sinuosa,2.3,-999
chiton  granosus,rama novazelandensis,2.3,-999
chiton  granosus,schyzimenia doryophora,2.3,-999
colpomenia sinuosa,gelidium rex,-999,-999
concholepas concholepas,lithothamnion spp.,2.3,-999
concholepas concholepas,petroglossum spp.,2.3,-999
corallina offcinalis var. chilensis,enteromorpha compressa,-999,-999
corallina offcinalis var. chilensis,lithothamnion spp.,-999,-999
corallina offcinalis var. chilensis,porphyra_spp,-999,-999
enoplochiton  niger,enteromorpha compressa,6,-999
enteromorpha compressa,gymnogongrus furcellatus,-999,-999
fissurella  costata,gelidium rex,49.03,-999
fissurella  costata,halopteris funicularis,49.03,-999
fissurella  costata,mazzaella laminarioides,49.03,-999
fissurella  costata,porphyra_spp,49.03,-999
fissurella  puhlcra,petrolisthes punctatus,15,-999
fissurella  puhlcra,rhizoclonium cilindricum,15,-999
halopteris funicularis,trimusculus peruvianus,-999,-999
heliaster helianthus,scythosiphon lomentaria,173.46,-999
hildenbrandia lecanelieri,petrolisthes angulosus,-999,-999
hildenbrandia lecanelieri,petrolisthes tuberculosus,-999,-999
isolauctis spp.,lithothamnion spp.,11,-999
jhelius cirratus,petrolisthes spinifrons,0.05,-999
lithothamnion spp.,petrolisthes angulosus,-999,-999
lottia  orbigny,petrolisthes angulosus,0.02,-999
perumytilus purpuratus,rhizoclonium cilindricum,2.52,-999
petroglossum spp.,ulvella spp.,-999,-999
petrolisthes angulosus,porphyra_spp,-999,-999
