Prey,Predator,PreyMass,PredatorMass
Dendropoma tholia,Littorinidae,0.0013,0.0002
Antennablennius bifilum,Gelidiella acerosa,1.63,0.000228
Clibanarius virescens,Dichotomaria marginata,3.44,0.000228
Dendropoma tholia,Dictyota sp.,0.0013,0.000228
Orthoprotella mayeri,Sargassum elegans,0.0009,0.000228
Littorinidae,Ostracoda,0.0002,0.001
Anemonia natalensis,Sphaeromatidae,0.0026,0.01
Dictyota sp.,Isaurus tuberculatus,0.000228,0.01
Holothuria cinerascens,Sphaeromatidae,15.98,0.01
Hymeniacidon sp.,Metopograpsus messor,0.01,0.01
Chnoospora minima,Conus tinianus,0.000228,2.86
