Prey,Predator,PreyMass,PredatorMass
Diplocephalus picinus,saphrophytes,0.001612679,-999
Geholaspis mandibularis,Oribatida sp. (juv),7.64e-05,7.36e-07
Desoria violacea,Parisotoma notabilis,8.34e-06,2.41e-06
Chamobates cuspidatus,Isotomiella minor,1.55e-05,3.27e-06
Eupelops plicatus,Isotomiella minor,7.89e-05,3.27e-06
Parisotoma notabilis,Uropodina sp. (juv),2.41e-06,3.52e-06
Aleocharinae sp2,Micraphorura absoloni,6.6e-05,3.88e-06
Lysigamasus lapponicus,Micraphorura absoloni,5.21e-05,3.88e-06
Parisotoma notabilis,Sminthurinus aureus,2.41e-06,5.1e-06
Chamobates borealis,Folsomia quadrioculata,1.99e-05,5.41e-06
Neobisium sp.,Veigaia sp. (juv),0.001603525,6.03e-06
Curculionidae sp.,Protaphorura armata,0.006092829,8.73e-06
Hahnia pusilla (juv),Megalothorax minimus,0.000174151,1.52e-05
Lithobius sp2 {s},Megalothorax minimus,6.6e-05,1.52e-05
Tenuiphantes tenebricola,Veigaia exigua,0.001080164,1.59e-05
Lithobius sp3 {m},Scolopendrella cf. subnuda {s},0.000204057,2.33e-05
Athous subfuscus (juv) {m},Veigaia cerva (juv),0.000471002,3.3e-05
Lithobius sp.,Veigaia cerva (juv),0.00359344,3.3e-05
Hahnia pusilla,Lithobius sp1 {s},0.001021355,4.11e-05
Lysigamasus lapponicus,Veigaia nemorensis,5.21e-05,4.83e-05
Armadillidium sp.,Lysigamasus lapponicus,0.00399555,5.21e-05
Lithobius sp.,Lysigamasus lapponicus,0.00359344,5.21e-05
Lithobius sp1 {s},Lysigamasus lapponicus,4.11e-05,5.21e-05
Armadillidium sp.,Lithobius sp2 {s},0.00399555,6.6e-05
Lithobius sp. (juv) {l},Lithobius sp2 {s},0.001667807,6.6e-05
Aleocharinae sp2,Geholaspis mandibularis,6.6e-05,7.64e-05
Achipteria coleoptrata,Eupelops plicatus,5e-05,7.89e-05
Atheta fungi,Eupelops plicatus,0.00069019,7.89e-05
Atheta myrmecobia,Hahnia pusilla (juv),0.000426638,0.000174151
Clubionidae (juv),Hahnia pusilla (juv),0.003435355,0.000174151
Geholaspis mandibularis,Scutigerella immaculata {m},7.64e-05,0.000203722
Lysigamasus lapponicus,Scutigerella immaculata {m},5.21e-05,0.000203722
Campodea sp. {l},Linyphiidae (juv),0.002292383,0.000519895
Cantharidae sp.,Linyphiidae (juv),0.004843955,0.000519895
Ligidium hypnorum,Linyphiidae (juv),0.005681208,0.000519895
Allaiulus nitidus {xl},Atheta fungi,0.00468865,0.00069019
Lithobius cf. crassipes (juv),Oxypoda annularis,0.000951286,0.000715591
Lithobius sp.,Oxypoda annularis,0.00359344,0.000715591
Neobisium sp.,Oxypoda annularis,0.001603525,0.000715591
Othius sp. (juv) {m},Oxypoda annularis,0.002792224,0.000715591
Atheta myrmecobia,Athous sp. (juv),0.000426638,0.000875669
Geophilomorpha sp.,Lithobius cf. crassipes (juv),0.006669259,0.000951286
Allacma fusca,Hahnia pusilla,1.02e-05,0.001021355
Chamobates cuspidatus,Tapinocyba insecta,1.55e-05,0.001163738
Folsomia fimetaria,Tapinocyba insecta,5.41e-06,0.001163738
Lithobius mutabilis,Tapinocyba insecta,0.004660424,0.001163738
Cantharidae sp.,Xantholinus sp. (juv) {m},0.004843955,0.001552369
Chrysomelidae sp.,Xantholinus sp. (juv) {m},0.004621467,0.001552369
Trachytes pauperior (juv),Xantholinus sp. (juv) {m},1.16e-05,0.001552369
Lithobius sp. (juv) {l},Neobisium sp.,0.001667807,0.001603525
Dalopius marginatus (juv) {l},Diplocephalus picinus,0.007338728,0.001612679
Desoria violacea,Lithobius sp. (juv) {l},8.34e-06,0.001667807
Geophilomorpha sp.,Phalacridae sp.,0.006669259,0.001762372
Lithobius cf. crassipes (juv),Phalacridae sp.,0.000951286,0.001762372
Lithobius sp.,Phalacridae sp.,0.00359344,0.001762372
Folsomia litsteri,Micrargus herbigradus,5.41e-06,0.001961535
Curculionidae sp.,Othius sp. (juv) {m},0.006092829,0.002792224
Malthodes sp. (juv),Othius sp. (juv) {m},0.004000437,0.002792224
Aleocharinae sp2,Cylisticus sp.,6.6e-05,0.003154401
Atheta fungi,Cylisticus sp.,0.00069019,0.003154401
Cantharidae sp.,Malthodes sp. (juv),0.004843955,0.004000437
Folsomia litsteri,Staphylinidae spec,5.41e-06,0.004003596
Allaiulus nitidus {xl},Chrysomelidae sp.,0.00468865,0.004621467
Campodea sp. {l},Chrysomelidae sp.,0.002292383,0.004621467
Fosseremus laciniatus,Lithobius mutabilis,7.22e-06,0.004660424
Curculionidae sp.,Phalangiidae sp. (juv),0.006092829,0.005966949
Lithobius sp1 {s},Phalangiidae sp. (juv),4.11e-05,0.005966949
Athous sp. (juv),Coleoptera sp. (juv),0.000875669,0.027960341
