Prey,Predator,PreyMass,PredatorMass
fish fry,nanoflagellates ,0.016,3.49e-12
Bosmina longirostris,Cryptomonas erosa,1.55e-06,4.75e-11
Colletheca mutabilis,Cryptomonas erosa,3.21e-05,4.75e-11
Eucyclops agilis,Keratella taurocephala,1e-05,1e-08
Kelicottia longispina,Peridinium inconspicuum,2e-08,5.6e-08
Mallomonas sp.,Peridinium inconspicuum,5.65e-09,5.6e-08
Monostyla lunaris,Peridinium inconspicuum,1.37e-06,5.6e-08
Mesocyclops edax,Monostyla lunaris,1e-05,1.37e-06
Ankistrodesmus falcatus,Eucyclops agilis,2.57e-11,1e-05
Colletheca mutabilis,Daphnia catawba,3.21e-05,1e-05
Mesocyclops edax,Synchaeta sp.,1e-05,1.37e-05
Peridinium inconspicuum,Synchaeta sp.,5.6e-08,1.37e-05
Salvelinus fontinalis,fish fry,532,0.016
Cryptomonas erosa,fish eggs,4.75e-11,0.0201
Daphnia catawba,fish eggs,1e-05,0.0201
Cryptomonas erosa,Salvelinus fontinalis,4.75e-11,532
