Prey,Predator,PreyMass,PredatorMass
Acanthochitona crinita,Dictyota dichotoma,0.07,0.000228
Acanthochitona crinita,Ellisolandia elongata,0.07,0.000228
Ampithoidae,Bifurcaria bifurcata,0.01,0.000228
Anemonia sulcata,Asparagopsis armata,0.4,0.000228
Anemonia sulcata,Colpomenia peregrina,0.4,0.000228
Calliopidae,Dictyota dichotoma,0.0035,0.000228
Cardiidae,Dictyopteris polypodioides,0.007,0.000228
Tricolia pullus,Ulva lactuca,0.012,0.000228
Gobius paganellus,Omalogyra atomus,0.3,0.0008
Acanthochitona crinita,Gammaridae,0.07,0.001
Colpomenia peregrina,Zooplankton,0.000228,0.001
Tricolia pullus,Turridae,0.012,0.0042
Acanthochitona crinita,Tanaidacea,0.07,0.01
Ampithoidae,Insecta,0.01,0.01
Ampithoidae,Tanaidacea,0.01,0.01
Bifurcaria bifurcata,Nematoda,0.000228,0.01
Bifurcaria bifurcata,Solecurtus strigilatus,0.000228,0.01
Colpomenia peregrina,Solecurtus strigilatus,0.000228,0.01
Ophiuroidea,Stenothoidae,0.06,0.01
Acanthochitona crinita,Tricolia pullus,0.07,0.012
Cardiidae,Sphaeromatidae,0.007,0.02
Gibbula umbilicalis,Ophiuroidea,0.09,0.06
Asparagopsis armata,Venerupis sp.,0.000228,0.06
