Prey,Predator,PreyMass,PredatorMass
Aegopinella nitidula (juv),Enchytraeidae,0.006715285,-999
Aegopinella nitidula (juv),saphrophytes,0.006715285,-999
Atheta fungi,roots,0.00069019,-999
Athous subfuscus (juv) {m},Enchytraeidae,0.000471002,-999
Athous subfuscus (juv) {m},leaf litter,0.000471002,-999
Athous subfuscus (juv) {m},plants,0.000471002,-999
Campodea sp. {m},leaf litter,0.000717334,-999
Campodea sp. {m},plants,0.000717334,-999
Clubiona pallidula,plants,0.115461338,-999
Coleoptera sp.,Enchytraeidae,0.001535648,-999
Dendrobaena octaedra,leaf litter,0.146111111,-999
Dendrobaena octaedra,plants,0.146111111,-999
Dendrobaena octaedra,roots,0.146111111,-999
Dendrodrilus rubidus,dead organic matter,0.1,-999
Dendrodrilus rubidus,mykorrhiza,0.1,-999
Dendrodrilus rubidus,roots,0.1,-999
Dendrodrilus rubidus,saphrophytes,0.1,-999
Diplocephalus picinus,mykorrhiza,0.001612679,-999
Enchytraeidae,mykorrhiza,-999,-999
Enchytraeidae,roots,-999,-999
Geostiba circellaris,roots,0.001056938,-999
Geotrupes spec,root exudates,0.412869081,-999
Geotrupes spec,roots,0.412869081,-999
Geotrupes spec,saphrophytes,0.412869081,-999
Haplodrassus silvstris,dead organic matter,0.046070603,-999
Haplodrassus silvstris,root exudates,0.046070603,-999
Haplodrassus silvstris,saphrophytes,0.046070603,-999
Julidae sp.,mykorrhiza,0.00617,-999
Julidae sp.,plants,0.00617,-999
Julidae sp. (juv) {m},roots,0.000294023,-999
Lathrobium sp. (juv),root exudates,0.000447918,-999
Linyphia hortensis,dead organic matter,0.005205442,-999
Linyphia hortensis,leaf litter,0.005205442,-999
Linyphiidae (juv),roots,0.000519895,-999
Linyphiidae cf Erigoniinae (juv) {s},plants,8.19e-05,-999
Liocranidae sp. (juv),roots,0.002874279,-999
Liocranidae sp. (juv),saphrophytes,0.002874279,-999
Lithobius curtipes (juv),algae,0.000375759,-999
Lithobius curtipes (juv),plants,0.000375759,-999
Lithobius sp.,plants,0.00359344,-999
Lysigamasus cf conus,leaf litter,2.49e-05,-999
Lysigamasus cf conus,root exudates,2.49e-05,-999
Lysigamasus lapponicus,dead organic matter,5.21e-05,-999
Lysigamasus runcatellus,dead organic matter,4.31e-05,-999
Megaphyllum projectum,plants,0.039114,-999
Metellina segmentata,dead organic matter,0.004189325,-999
Metellina segmentata,plants,0.004189325,-999
Metellina segmentata,root exudates,0.004189325,-999
Metellina segmentata,roots,0.004189325,-999
Microppia minus,root exudates,3.83e-06,-999
