Prey,Predator,PreyMass,PredatorMass
Diaptomus minutus,benthic detritus,1.44e-05,-999
Dinobryon bavaricum,benthic detritus,1.36e-09,-999
Holopedium gibberum,Merismopedia tenuissima,6.82e-05,2.41e-11
Bosmina longirostris,Chrysosphaerella longispina,1.55e-06,7.65e-10
Dinobryon sertularia,Navicula sp.,1.36e-09,9.01e-10
Kelicottia bostoniensis,Tabellaria fenestrata,2e-08,1.07e-09
Polyarthra major,Sphaerocystis schroeteri,8.55e-07,1.11e-09
Bosmina longirostris,Dinobryon sertularia,1.55e-06,1.36e-09
Bosmina longirostris,Dinobryon sp.,1.55e-06,1.36e-09
Diaptomus leptopus,Dinobryon bavaricum,1.01e-05,1.36e-09
Dinobryon bavaricum,Dinobryon sertularia,1.36e-09,1.36e-09
Chydorus sphaericus,Kelicottia bostoniensis,2.18e-06,2e-08
Cryptomonas erosa,Xanthidium sp.,4.75e-11,4.95e-08
Keratella taurocephala,Xanthidium sp.,1e-08,4.95e-08
Mesocyclops edax,Xanthidium sp.,1e-05,4.95e-08
Polyarthra major,Xanthidium sp.,8.55e-07,4.95e-08
Tropocyclops prasinus,Xanthidium sp.,6.85e-06,4.95e-08
Holopedium gibberum,Oocyctis sp.,6.82e-05,8.61e-08
Chydorus sphaericus,Polyarthra major,2.18e-06,8.55e-07
Colletheca mutabilis,Gastropus stylifer,3.21e-05,8.55e-07
Mallomonas sp.,Polyarthra major,5.65e-09,8.55e-07
Merismopedia tenuissima,Tropocyclops prasinus,2.41e-11,6.85e-06
Keratella taurocephala,Synchaeta sp.,1e-08,1.37e-05
Conochiloides dossuarius,Diaphanosoma birgei,1.83e-06,4.01e-05
Daphnia catawba,Holopedium gibberum,1e-05,6.82e-05
Chydorus sphaericus,Ictalurus nebulosus,2.18e-06,12
