Score,Label
0.993512,1
0.9999992,1
0.9999998,1
0.9954331,1
0.9990444,1
0.9999959,1
0.09797274,1
0.9490573,1
0.9950066,1
0.7495769,1
0.9864204,1
0.9781543,1
0.9938524,1
0.9766668,1
0.9788755,1
0.9337295,1
0.9954323,1
0.9995685,1
0.9413304,1
0.7338181,1
0.9634114,1
0.9960113,1
0.99914,1
0.9949954,1
0.9952298,1
7.745149e-13,1
0.9999533,1
0.9999447,1
0.5618213,1
0.9984125,1
1,1
0.988653,1
1,1
0.2686422,1
8.171091e-20,1
5.732192e-14,1
0.9999913,1
0.9999918,1
0.9996694,1
1,1
0.9999202,1
0.9999961,1
0.9998792,1
0.9998826,1
0.9481848,1
0.9999826,1
0.8947741,1
1,1
0.9997618,1
0.006706813,1
0.4758577,1
0.9979336,1
0.4758174,1
0.6820586,1
0.6820586,1
0.5662,1
3.968587e-08,1
0.008784845,1
0.9999809,1
0.95143,1
0.7630053,1
0.9955983,1
0.9996985,1
0.9999943,1
0.9997346,1
1,1
0.9999921,1
0.001672605,1
0.9992853,1
0.2772168,1
0.767939,1
0.8604403,1
0.9973761,1
0.9841755,1
0.9988803,1
0.9960465,1
0.9722652,1
0.9613302,1
0.9999306,1
0.002674786,1
0.9988195,1
0.05756085,1
0.9701507,1
2.476134e-18,1
0.997833,1
0.9999894,1
0.9969331,1
0.9998744,1
0.9848018,1
5.227695e-08,1
0.6273163,1
0.9928364,1
0.9999888,1
0.9667019,1
0.7544689,1
0.9712217,1
0.9807704,1
0.999799,1
0.9993194,1
0.0061939,1
0.1137423,1
0.8916209,1
0.664241,1
0.9991342,1
0.002420966,1
0.9999895,1
0.9999998,1
0.7841219,1
0.9999988,1
0.5776058,1
0.987457,1
0.9950648,1
0.9965959,1
0.9452662,1
0.9950095,1
0.9991345,1
0.9871731,1
0.9952587,1
0.9999999,1
0.9925354,1
0.9978655,1
0.002522355,1
0.2477411,1
0.9999976,1
0.999949,1
0.9846808,1
0.9999918,1
0.9760215,1
0.0002306721,1
0.8771107,1
0.9999998,1
0.9967044,1
0.9998969,1
1,1
0.9465782,1
0.0003497247,1
1.658174e-10,1
0.9816647,1
0.9923881,1
0.9987789,1
0.9942974,1
0.9980773,1
0.9935669,1
0.005599177,1
0.9949349,1
0.9902039,1
1,1
0.9999695,1
0.8090146,1
0.5776058,1
0.5791554,1
6.148462e-07,1
0.8231308,1
0.9605731,1
0.06777252,1
0.5629069,1
0.9958675,1
0.9985336,1
0.990182,1
1,1
0.9998304,1
0.9999567,1
0.9993349,1
0.9956101,1
0.9999998,1
0.9999906,1
0.997083,1
0.9999954,1
0.04828191,1
0.9769208,1
0.9997154,1
0.9999709,1
0.6277866,1
0.8353447,1
2.87499e-15,1
2.049946e-19,1
0.9974924,1
0.9987979,1
0.9977427,1
0.6767491,1
0.9999975,1
0.9999998,1
0.5360923,1
1,1
0.9971718,1
0.9999489,1
1,1
0.9983677,1
0.006030763,1
0.9006414,1
0.864506,1
0.006030763,1
0.8229375,1
0.995949,1
0.9999996,1
0.9939311,1
0.9999999,1
0.9999985,1
0.6326096,1
0.9990552,1
1,1
0.9938113,1
0.4708866,1
0.8805864,1
0.9934036,1
0.9999956,1
0.9999988,1
0.994085,1
0.9973875,1
0.9999627,1
0.9915873,1
0.999741,1
0.998792,1
0.9997829,1
0.999904,1
0.9496869,1
0.9785295,1
0.9998432,1
0.9999987,1
0.99666,1
0.4706168,1
0.9999903,1
0.8470156,1
0.987947,1
0.9999629,1
0.9807186,1
0.8090146,1
0.7174688,1
0.9996138,1
0.9999915,1
0.9997649,1
0.9999082,1
0.9242919,1
0.9999424,1
0.975002,1
0.9999999,1
0.6287105,1
0.9998709,1
0.1233256,1
0.9999996,1
0.9994009,1
0.9997048,1
0.9999998,1
0.9997076,1
0.9999876,1
0.2431458,1
0.9555951,1
0.9999886,1
0.9998972,1
0.9988341,1
0.9985495,1
0.9555951,1
0.9999869,1
0.9999132,1
0.9999768,1
0.2153317,1
0.0002438089,1
0.0007028182,1
0.9999768,1
0.9999992,1
0.9999999,1
0.9981433,1
0.9955844,1
0.9998224,1
0.9575394,1
0.9974267,1
3.181808e-05,1
0.9974865,1
0.9713704,1
0.9996057,1
0.9968686,1
0.1939837,1
0.9594997,1
0.9594997,1
0.5298814,1
0.05920957,1
0.2742155,1
0.9999968,1
0.9963117,1
0.7174688,1
0.5791554,1
0.9998084,1
0.9999903,1
0.7174688,1
0.9999886,1
0.02725459,1
0.9996163,1
0.9999363,1
0.9999945,1
0.9999985,1
0.9142497,1
0.9142497,1
0.9997625,1
0.8535742,1
0.9752911,1
0.9823216,1
1.304004e-08,1
0.9993735,1
0.9989735,1
0.998482,1
0.0001668829,1
0.8057008,1
0.8680577,1
0.989374,1
0.9456646,1
0.9456646,1
0.989374,1
0.2671913,0
0.0007091221,0
0.9995846,0
1.501228e-17,0
0.9840063,0
1.678892e-13,0
4.173164e-08,0
3.073876e-05,0
1.886154e-09,0
0.1301635,0
7.742005e-05,0
0.9999985,0
0.9996102,0
1.711512e-06,0
3.503346e-09,0
1.944591e-20,0
3.757618e-12,0
4.266973e-07,0
5.631238e-07,0
3.088981e-09,0
3.985111e-06,0
0.001396255,0
0.0008991277,0
3.810164e-17,0
1.102026e-05,0
0.0002797359,0
0.9886332,0
0.09434308,0
0.1301635,0
0.0002900342,0
1.319593e-10,0
3.088981e-09,0
6.458987e-12,0
0.1406374,0
0.0006026212,0
0.7174688,0
0.3369683,0
0.9906768,0
4.266973e-07,0
2.220722e-08,0
4.102793e-09,0
2.300033e-16,0
5.671259e-18,0
0.1301635,0
0.9998895,0
2.442699e-09,0
1.461279e-06,0
