Prey,Predator,PreyMass,PredatorMass
Aporrectodea caliginosa (juv) {xxxl},root exudates,0.207777778,-999
Arrhopalites pygmaeus,Enchytraeidae,5.1e-06,-999
Geophilomorpha sp.,leaf litter,0.006669259,-999
Geophilus ribauti,roots,0.004253993,-999
Harpactea lepida (juv) large,plants,0.004962887,-999
Paratullbergia callipygos,saphrophytes,1.46e-05,-999
Saloca diceros,roots,0.001156146,-999
Trachelipus sp.,algae,0.009576654,-999
Trichia striolata (juv),root exudates,0.020057741,-999
Veigaia exigua,leaf litter,1.59e-05,-999
Vitrea diaphana (juv),algae,0.000366553,-999
Walckenaeria cucullata,roots,0.002215063,-999
Zercon cf gurensis,roots,1.22e-05,-999
root exudates,roots,-999,-999
root feeding nematodes,roots,2.35e-07,-999
Quadroppia quadricarinata,root feeding nematodes,4.77e-06,2.35e-07
Lysigamasus lapponicus,Oribatida sp. (juv),5.21e-05,7.36e-07
Hahnia pusilla,Pseudosinella alba,0.001021355,2.7e-06
Dinychus perforatus (juv),Isotomiella minor,4.04e-05,3.27e-06
Holoparasitus stramenti,Isotomiella minor,3.12e-05,3.27e-06
Enchytraeidae,Microppia minus,-999,3.83e-06
Geophilomorpha sp.,Microppia minus,0.006669259,3.83e-06
Enchytraeidae,Quadroppia quadricarinata,-999,4.77e-06
Geophilus ribauti,Leitneria granulata (juv),0.004253993,4.8e-06
Chordeumatidae (juv) {m},Prozercon fimbriatus,0.001220857,6.12e-06
Pachylaelaps longisetosus,Prozercon fimbriatus,6.06e-05,6.12e-06
Lepidocyrtus lanuginosus,Suctobelbella sp.,8.99e-06,6.17e-06
Chordeumatidae (juv) {m},Pergamasinae (juv) {xs},0.001220857,6.46e-06
Enchytraeidae,Pergamasinae (juv) {xs},-999,6.46e-06
Geophilus ribauti,Pergamasinae (juv) {xs},0.004253993,6.46e-06
Lithobius cf. crassipes (juv),Pergamasinae (juv) {xs},0.000951286,6.46e-06
Oppiella falcata,Pergamasinae (juv) {xs},6.68e-06,6.46e-06
Euophrys frontalis,Oppiella nova,0.00313298,8.99e-06
Folsomia quadrioculata,Lepidocyrtus lanuginosus,5.41e-06,8.99e-06
Geostiba circellaris,Suctobelba altvateri,0.001056938,8.99e-06
Hahnia pusilla,Suctobelba altvateri,0.001021355,8.99e-06
Ptiliidae sp.,Suctobelba altvateri,0.001136191,8.99e-06
Hahnia pusilla,Trachytes pauperior (juv),0.001021355,1.16e-05
Azeca goodalli,Chamobates voigtsi,0.010612956,1.17e-05
Geophilus insculptus,Zercon cf gurensis,0.005906476,1.22e-05
Geostiba circellaris,Zercon cf gurensis,0.001056938,1.22e-05
Lithobius sp2 {l},Zercon cf gurensis,0.000157031,1.22e-05
Microppia minus,Zercon cf gurensis,3.83e-06,1.22e-05
Arion silvaticus,Mesaphorura sp.,0.192352467,1.46e-05
Arionidae sp.,Mesaphorura sp.,0.173821667,1.46e-05
Arionidae sp.,Megalothorax minimus,0.173821667,1.52e-05
Holoparasitus stramenti,Megalothorax minimus,3.12e-05,1.52e-05
Aporrectodea caliginosa (juv) {xl},Veigaia exigua,0.267537302,1.59e-05
Aporrectodea caliginosa (juv) {xxxl},Veigaia exigua,0.207777778,1.59e-05
Aporrectodea rosea,Veigaia exigua,0.219642857,1.59e-05
Chordeumatidae (juv) {m},Veigaia exigua,0.001220857,1.59e-05
Enchytraeidae,Veigaia exigua,-999,1.59e-05
Lumbricus rubellus (juv),Veigaia exigua,0.135,1.59e-05
Micrargus herbigradus,Veigaia exigua,0.001961535,1.59e-05
Nesovitrea hammonis,Trachytes pauperior{s},0.002188587,1.92e-05
Aporrectodea rosea (juv),Epicrius canestrinii,0.085811429,2.2e-05
Aporrectodea rosea (juv),Uroseius cylindricus (juv),0.085811429,2.39e-05
Harpactea lepida (juv) large,Uroseius cylindricus (juv),0.004962887,2.39e-05
Harpactea lepida (juv) small,Uroseius cylindricus (juv),0.002996785,2.39e-05
Lumbricus rubellus (juv),Uroseius cylindricus (juv),0.135,2.39e-05
