Prey,Predator,PreyMass,PredatorMass
Cyclops vernalis,nanoflagellates ,2.24e-05,3.49e-12
Daphnia longiremis,nanoflagellates ,1e-05,3.49e-12
Holopedium gibberum,nanoflagellates ,6.82e-05,3.49e-12
Asplanchna sp.,Rhabdoderma lineare,7.35e-06,7.68e-11
Daphnia catawba,Rhabdoderma lineare,1e-05,7.68e-11
Colletheca mutabilis,Elakatrothrix gelatinosa,3.21e-05,1.96e-10
Coregonus artedii,Spondylosium planum,320,8.72e-10
Daphnia catawba,Spondylosium planum,1e-05,8.72e-10
Daphnia galeata,Spondylosium planum,1e-05,8.72e-10
Cryptomonas erosa,Navicula sp.,4.75e-11,9.01e-10
Holopedium gibberum,Navicula sp.,6.82e-05,9.01e-10
Holopedium gibberum,Quadrigula closterioides,6.82e-05,9.48e-10
Daphnia catawba,Sphaerocystis schroeteri,1e-05,1.11e-09
Diaptomus minutus,Sphaerocystis schroeteri,1.44e-05,1.11e-09
Holopedium gibberum,Sphaerocystis schroeteri,6.82e-05,1.11e-09
Daphnia catawba,Dinobryon bavaricum,1e-05,1.36e-09
Diaptomus minutus,Dinobryon sertularia,1.44e-05,1.36e-09
Colletheca mutabilis,Fragilaria sp.,3.21e-05,2.85e-09
Daphnia galeata,Fragilaria sp.,1e-05,2.85e-09
Coregonus artedii,Keratella taurocephala,320,1e-08
Diaptomus minutus,Oocyctis sp.,1.44e-05,8.61e-08
Lepomis gibbosus,Trichocerca pusilla,50,7.46e-07
Coregonus artedii,Gastropus stylifer,320,8.55e-07
Sphaerocystis schroeteri,Tropocyclops prasinus,1.11e-09,6.85e-06
Cryptomonas erosa,Cyclops vernalis,4.75e-11,2.24e-05
Micropterus dolomieui,copepod nauplii,193,0.001812356
Semotilus corporalis,copepod nauplii,260,0.001812356
Cryptomonas erosa,Micropterus salmoides,4.75e-11,45
Elakatrothrix gelatinosa,Salvelinus namaycush,1.96e-10,1435.52941176471
