Prey,Predator,PreyMass,PredatorMass
Actinia equina,Cystoseira sp.,1.57,0.000228
Coryphoblennius galerita,Ellisolandia elongata,0.6,0.000228
Asparagopsis armata,Zooplankton,0.000228,0.001
Asparagopsis armata,Turtonia minuta,0.000228,0.0011
Leucothoidae,Rissoidae,0.01,0.002
Lipophrys pholis,Tricolia pullus,0.56,0.0089
Anemonia sulcata,Polychaeta,3.9,0.01
Aulactinia verrucosa,Porifera,0.5,0.01
Bifurcaria bifurcata,Turridae,0.000228,0.01
Chthamalus sp.,Sphaeromatidae,0.01,0.01
Lipophrys trigloides,Porifera,1.5,0.01
Musculus costulatus,Porifera,0.005,0.01
Palaemon elegans,Turridae,0.13,0.01
Palaemon longirostris,Stenothoidae,0.24,0.01
PhytoP,Turridae,0.0001,0.01
Rissoidae,Turridae,0.002,0.01
Nassariidae,Palaemon elegans,0.31,0.13
Jaera sp.,Nassariidae,0.01,0.31
Leucothoidae,Paracentrotus lividus,0.01,2.99
