Prey,Predator,PreyMass,PredatorMass
Fucus,Oligochaeta,0.000228,0.0002
Alitta virens,Dictyosiphon foeniculaceus,0.0296,0.000228
Clathromorphum circumscriptum,Dictyosiphon foeniculaceus,0.000228,0.000228
Diatomophyceae,Fucus,0.0002,0.000228
Diatomophyceae,Monostroma grevillei,0.0002,0.000228
Dictyosiphon foeniculaceus,Ralfsia verrucosa,0.000228,0.000228
Polychaeta,Ralfsia verrucosa,0.0639,0.000228
Polychaeta,Zooplankton,0.0639,0.001
Dictyosiphon foeniculaceus,Eteone sp.,0.000228,0.002
Oligochaeta,Polychaeta,0.0002,0.0639
Fucus,Mytilus sp.,0.000228,2.2525
