Prey,Predator,PreyMass,PredatorMass
Alacia belgicae,Vibilia antarctica,0.00044,0.00011
Alacia belgicae,Vibilia stebbingi,0.00044,0.00011
Boroecia antipoda,Vibilia stebbingi,0.00044,0.00011
Calanus propinquus,Vibilia antarctica,0.0057,0.00011
Clione antarctica,Vibilia stebbingi,0.1,0.00011
Paraeuchaeta antarctica,Vibilia antarctica,0.0081,0.00011
Austroflustra vulgaris,Pentanymphon antarcticum,0.15,0.00034
Camptoplites tricornis,Pentanymphon antarcticum,0.69,0.00034
Chaenodraco wilsoni,Pentanymphon antarcticum,210,0.00034
Chionodraco hamatus,Pentanymphon antarcticum,1100,0.00034
Dacodraco hunteri,Pentanymphon antarcticum,330,0.00034
Electrona antarctica,Pentanymphon antarcticum,39,0.00034
Eunoe hartmanae,Pentanymphon antarcticum,57,0.00034
Eunoe spica spicoides,Pentanymphon antarcticum,7.1,0.00034
Flustra antarctica,Pentanymphon antarcticum,5.6,0.00034
Harmothoe crosetensis,Pentanymphon antarcticum,5.8,0.00034
Harmotoe hartmanae,Pentanymphon antarcticum,5.8,0.00034
Harpagifer antarcticus,Pentanymphon antarcticum,36,0.00034
Macrourus whitsoni,Pentanymphon antarcticum,5100,0.00034
Neobuccinum eatoni,Pentanymphon antarcticum,0.15,0.00034
Notothenia marmorata,Pentanymphon antarcticum,8600,0.00034
Pachycara brachycephalum,Pentanymphon antarcticum,3.5,0.00034
Actinocyclus actinochilus,Conchoecia antipoda,4.06e-11,0.00044
Actinocyclus utricularis,Conchoecia antipoda,4.01e-12,0.00044
Alacia hettacra,Conchoecia antipoda,0.00044,0.00044
Banquisia belgicae,Conchoecia antipoda,4.01e-12,0.00044
Bargmannia,Conchoecia hettacra,0.012,0.00044
Clio pyramidata,Conchoecia hettacra,0.017,0.00044
Clione antarctica,Conchoecia hettacra,0.1,0.00044
Clione limacina,Conchoecia hettacra,0.014,0.00044
Eucranta mollis,Probuccinum tenuistriatum,4.7,0.00048
Eunoe spica spicoides,Probuccinum tenuistriatum,7.1,0.00048
Harmothoe spinosa,Probuccinum tenuistriatum,6.1,0.00048
Laetmonice producta,Probuccinum tenuistriatum,110,0.00048
Calanus propinquus,Sagitta marri,0.0057,0.0013
Paraeuchaeta antarctica,Sagitta marri,0.0081,0.0013
Actinocyclus actinochilus,Pelagobia longicirrata,4.06e-11,0.0019
Actinocyclus utricularis,Pelagobia longicirrata,4.01e-12,0.0019
Alacia hettacra,Pelagobia longicirrata,0.00044,0.0019
Chaetoceros bulbosum ,Pelagobia longicirrata,6.04e-13,0.0019
Chaetoceros concavicornis,Pelagobia longicirrata,4.01e-12,0.0019
Chaetoceros neglectum,Pelagobia longicirrata,9.11e-14,0.0019
Chaetoceros pelagicus,Pelagobia longicirrata,6.04e-13,0.0019
Corethron criophilum,Pelagobia longicirrata,4.01e-12,0.0019
Fragilariopsis curta,Pelagobia longicirrata,9.11e-14,0.0019
Fragilariopsis cylindrus,Pelagobia longicirrata,1.53e-14,0.0019
Fragilariopsis kerguelensis,Pelagobia longicirrata,3.29e-13,0.0019
Fragilariopsis linearis,Pelagobia longicirrata,4.53e-13,0.0019
Fragilariopsis nana,Pelagobia longicirrata,4.53e-13,0.0019
Fragilariopsis obliquecostata,Pelagobia longicirrata,4.53e-13,0.0019
Fragilariopsis pseudonana,Pelagobia longicirrata,9.11e-14,0.0019
Fragilariopsis ritscheri,Pelagobia longicirrata,4.53e-13,0.0019
Fragilariopsis separanda,Pelagobia longicirrata,6.04e-13,0.0019
Fragilariopsis sublinearis,Pelagobia longicirrata,1.5e-13,0.0019
Fragilariopsis vanheurckii,Pelagobia longicirrata,9.11e-14,0.0019
Manguinea fusiformis,Pelagobia longicirrata,1.97e-10,0.0019
Manguinea rigida,Pelagobia longicirrata,9.1e-12,0.0019
Actinocyclus actinochilus,Rhynchonereella bongraini,4.06e-11,0.0019
Azpeitia tabularis,Rhynchonereella bongraini,1.14e-11,0.0019
Banquisia belgicae,Rhynchonereella bongraini,4.01e-12,0.0019
Chaetoceros dichaeta,Rhynchonereella bongraini,6.04e-13,0.0019
Chaetoceros neglectum,Rhynchonereella bongraini,9.11e-14,0.0019
Cylindrotheca closterium,Rhynchonereella bongraini,4.89e-11,0.0019
Eucampia antarctica,Rhynchonereella bongraini,7.29e-12,0.0019
Fragilariopsis curta,Rhynchonereella bongraini,9.11e-14,0.0019
Fragilariopsis kerguelensis,Rhynchonereella bongraini,3.29e-13,0.0019
Fragilariopsis linearis,Rhynchonereella bongraini,4.53e-13,0.0019
Fragilariopsis obliquecostata,Rhynchonereella bongraini,4.53e-13,0.0019
Fragilariopsis pseudonana,Rhynchonereella bongraini,9.11e-14,0.0019
Fragilariopsis rhombica,Rhynchonereella bongraini,4.53e-13,0.0019
Fragilariopsis vanheurckii,Rhynchonereella bongraini,9.11e-14,0.0019
Manguinea fusiformis,Rhynchonereella bongraini,1.97e-10,0.0019
Alacia belgicae,Silicularia rosea,0.00044,0.0022
Alacia hettacra,Silicularia rosea,0.00044,0.0022
Amphidinium hadai,Silicularia rosea,4e-12,0.0022
Bargmannia,Silicularia rosea,0.012,0.0022
Bodo saltans,Silicularia rosea,2.28e-13,0.0022
Boroecia antipoda,Silicularia rosea,0.00044,0.0022
Calanus propinquus,Silicularia rosea,0.0057,0.0022
Chaetoceros bulbosum ,Silicularia rosea,6.04e-13,0.0022
Chaetoceros concavicornis,Silicularia rosea,4.01e-12,0.0022
Chaetoceros pelagicus,Silicularia rosea,6.04e-13,0.0022
Clione antarctica,Silicularia rosea,0.1,0.0022
Conchoecia hettacra,Silicularia rosea,0.00044,0.0022
Coscinodiscus oculoides,Silicularia rosea,1.59e-09,0.0022
Cylindrotheca closterium,Silicularia rosea,4.89e-11,0.0022
Dictyocha speculum,Silicularia rosea,6.98e-12,0.0022
Eucampia antarctica,Silicularia rosea,7.29e-12,0.0022
Fragilariopsis curta,Silicularia rosea,9.11e-14,0.0022
Fragilariopsis linearis,Silicularia rosea,4.53e-13,0.0022
Fragilariopsis obliquecostata,Silicularia rosea,4.53e-13,0.0022
Fragilariopsis vanheurckii,Silicularia rosea,9.11e-14,0.0022
Navicula glaciei,Silicularia rosea,2.26e-14,0.0022
Navicula schefterae,Silicularia rosea,2.26e-14,0.0022
Nitzschia kerguelensis,Silicularia rosea,5.73e-12,0.0022
Nitzschia neglecta,Silicularia rosea,9.11e-14,0.0022
Odontella weissflogii,Silicularia rosea,5.73e-12,0.0022
Phaeocystis antarctica ,Silicularia rosea,1.24e-13,0.0022
Porosira pseudodenticulata,Silicularia rosea,9.81e-11,0.0022
Proboscia alata,Silicularia rosea,1.51e-12,0.0022
Pseudo-Nitzschia heimii,Silicularia rosea,1.77e-10,0.0022
Pseudo-Nitzschia subcurvata,Silicularia rosea,2.22e-10,0.0022
Actinocyclus actinochilus,Metridia gerlachei,4.06e-11,0.0023
Actinocyclus spiritus,Metridia gerlachei,1.64e-11,0.0023
Actinocyclus utricularis,Metridia gerlachei,4.01e-12,0.0023
Amphidinium hadai,Metridia gerlachei,4e-12,0.0023
Azpeitia tabularis,Metridia gerlachei,1.14e-11,0.0023
Bodo saltans,Metridia gerlachei,2.28e-13,0.0023
Alacia belgicae,Vanadis antarctica,0.00044,0.0039
Alacia hettacra,Vanadis antarctica,0.00044,0.0039
Azpeitia tabularis,Vanadis antarctica,1.14e-11,0.0039
Banquisia belgicae,Vanadis antarctica,4.01e-12,0.0039
Calanoides acutus,Vanadis antarctica,0.0055,0.0039
Chaetoceros bulbosum ,Vanadis antarctica,6.04e-13,0.0039
Chaetoceros concavicornis,Vanadis antarctica,4.01e-12,0.0039
Chaetoceros pelagicus,Vanadis antarctica,6.04e-13,0.0039
Clione antarctica,Vanadis antarctica,0.1,0.0039
Eucampia antarctica,Vanadis antarctica,7.29e-12,0.0039
Fragilariopsis linearis,Vanadis antarctica,4.53e-13,0.0039
Fragilariopsis nana,Vanadis antarctica,4.53e-13,0.0039
Fragilariopsis rhombica,Vanadis antarctica,4.53e-13,0.0039
Nitzschia neglecta,Vanadis antarctica,9.11e-14,0.0039
Porosira pseudodenticulata,Vanadis antarctica,9.81e-11,0.0039
Proboscia inermi,Vanadis antarctica,9.94e-13,0.0039
Proboscia truncata,Vanadis antarctica,1.21e-11,0.0039
Pseudo-Nitzschia heimii,Vanadis antarctica,1.77e-10,0.0039
Pseudo-Nitzschia liniola,Vanadis antarctica,8.13e-10,0.0039
Pseudo-Nitzschia subcurvata,Vanadis antarctica,2.22e-10,0.0039
Calanoides acutus,Eukrohnia hamata,0.0055,0.0052
Actinocyclus actinochilus,Calanoides acutus,4.06e-11,0.0055
Actinocyclus utricularis,Calanoides acutus,4.01e-12,0.0055
Actinocyclus spiritus,Calanus propinquus,1.64e-11,0.0057
Amphidinium hadai,Calanus propinquus,4e-12,0.0057
Azpeitia tabularis,Hyperiella dilatata,1.14e-11,0.0057
Banquisia belgicae,Calanus propinquus,4.01e-12,0.0057
Bargmannia,Calanus propinquus,0.012,0.0057
Calanoides acutus,Hyperiella dilatata,0.0055,0.0057
Actinocyclus spiritus,Salpa gerlachei,1.64e-11,0.0074
Amphidinium hadai,Ihlea racovitzai,4e-12,0.0074
Amphidinium hadai,Salpa gerlachei,4e-12,0.0074
Chaetoceros bulbosum ,Salpa gerlachei,6.04e-13,0.0074
Chaetoceros concavicornis,Salpa gerlachei,4.01e-12,0.0074
Chaetoceros neglectum,Salpa gerlachei,9.11e-14,0.0074
